date,MU stock
2012-10-12,17
2012-10-13,10
2012-10-14,0
2012-10-15,23
2012-10-16,15
2012-10-17,8
2012-10-18,32
2012-10-19,25
2012-10-20,95
2012-10-21,28
2012-10-22,23
2012-10-23,8
2012-10-24,16
2012-10-25,16
2012-10-26,25
2012-10-27,0
2012-10-28,9
2012-10-29,8
2012-10-30,15
2012-10-31,8
2012-11-01,25
2012-11-02,8
2012-11-03,9
2012-11-04,0
2012-11-05,8
2012-11-06,15
2012-11-07,23
2012-11-08,8
2012-11-09,0
2012-11-10,0
2012-11-11,9
2012-11-12,15
2012-11-13,0
2012-11-14,24
2012-11-15,8
2012-11-16,8
2012-11-17,0
2012-11-18,9
2012-11-19,15
2012-11-20,0
2012-11-21,0
2012-11-22,8
2012-11-23,0
2012-11-24,0
2012-11-25,9
2012-11-26,7
2012-11-27,8
2012-11-28,8
2012-11-29,23
2012-11-30,8
2012-12-01,9
2012-12-02,0
2012-12-03,23
2012-12-04,7
2012-12-05,8
2012-12-06,16
2012-12-07,0
2012-12-08,9
2012-12-09,0
2012-12-10,22
2012-12-11,8
2012-12-12,15
2012-12-13,0
2012-12-14,16
2012-12-15,0
2012-12-16,0
2012-12-17,8
2012-12-18,0
2012-12-19,8
2012-12-20,24
2012-12-21,33
2012-12-22,9
2012-12-23,0
2012-12-24,19
2012-12-25,0
2012-12-26,9
2012-12-27,8
2012-12-28,8
2012-12-29,9
2012-12-30,0
2012-12-31,19
2013-01-01,10
2013-01-02,16
2013-01-03,31
2013-01-04,15
2013-01-05,0
2013-01-06,0
2013-01-07,22
2013-01-08,22
2013-01-09,22
2013-01-10,15
2013-01-11,38
2013-01-12,17
2013-01-13,8
2013-01-14,29
2013-01-15,0
2013-01-16,7
2013-01-17,51
2013-01-18,15
2013-01-19,17
2013-01-20,0
2013-01-21,14
2013-01-22,14
2013-01-23,22
2013-01-24,44
2013-01-25,15
2013-01-26,17
2013-01-27,8
2013-01-28,28
2013-01-29,14
2013-01-30,14
2013-01-31,7
2013-02-01,23
2013-02-02,17
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,15
2013-02-08,15
2013-02-09,0
2013-02-10,0
2013-02-11,29
2013-02-12,29
2013-02-13,21
2013-02-14,0
2013-02-15,15
2013-02-16,8
2013-02-17,8
2013-02-18,7
2013-02-19,7
2013-02-20,7
2013-02-21,21
2013-02-22,7
2013-02-23,17
2013-02-24,0
2013-02-25,21
2013-02-26,21
2013-02-27,21
2013-02-28,21
2013-03-01,22
2013-03-02,8
2013-03-03,0
2013-03-04,21
2013-03-05,35
2013-03-06,21
2013-03-07,14
2013-03-08,59
2013-03-09,0
2013-03-10,0
2013-03-11,41
2013-03-12,14
2013-03-13,7
2013-03-14,14
2013-03-15,14
2013-03-16,8
2013-03-17,0
2013-03-18,41
2013-03-19,41
2013-03-20,21
2013-03-21,21
2013-03-22,22
2013-03-23,16
2013-03-24,8
2013-03-25,21
2013-03-26,21
2013-03-27,29
2013-03-28,15
2013-03-29,24
2013-03-30,9
2013-03-31,0
2013-04-01,36
2013-04-02,41
2013-04-03,21
2013-04-04,7
2013-04-05,0
2013-04-06,0
2013-04-07,8
2013-04-08,7
2013-04-09,0
2013-04-10,21
2013-04-11,7
2013-04-12,14
2013-04-13,17
2013-04-14,100
2013-04-15,27
2013-04-16,0
2013-04-17,21
2013-04-18,7
2013-04-19,22
2013-04-20,0
2013-04-21,8
2013-04-22,7
2013-04-23,7
2013-04-24,7
2013-04-25,14
2013-04-26,58
2013-04-27,17
2013-04-28,17
2013-04-29,21
2013-04-30,14
2013-05-01,15
2013-05-02,7
2013-05-03,30
2013-05-04,0
2013-05-05,8
2013-05-06,7
2013-05-07,14
2013-05-08,7
2013-05-09,14
2013-05-10,29
2013-05-11,0
2013-05-12,17
2013-05-13,14
2013-05-14,7
2013-05-15,14
2013-05-16,14
2013-05-17,44
2013-05-18,0
2013-05-19,8
2013-05-20,14
2013-05-21,7
2013-05-22,0
2013-05-23,14
2013-05-24,14
2013-05-25,8
2013-05-26,0
2013-05-27,14
2013-05-28,14
2013-05-29,7
2013-05-30,14
2013-05-31,21
2013-06-01,0
2013-06-02,0
2013-06-03,7
2013-06-04,0
2013-06-05,27
2013-06-06,14
2013-06-07,57
2013-06-08,8
2013-06-09,0
2013-06-10,14
2013-06-11,7
2013-06-12,34
2013-06-13,62
2013-06-14,22
2013-06-15,0
2013-06-16,0
2013-06-17,14
2013-06-18,28
2013-06-19,41
2013-06-20,49
2013-06-21,29
2013-06-22,17
2013-06-23,8
2013-06-24,48
2013-06-25,28
2013-06-26,63
2013-06-27,49
2013-06-28,44
2013-06-29,0
