date,MU stock
2013-06-29,6
2013-06-30,0
2013-07-01,30
2013-07-02,46
2013-07-03,21
2013-07-04,0
2013-07-05,17
2013-07-06,6
2013-07-07,13
2013-07-08,10
2013-07-09,21
2013-07-10,26
2013-07-11,31
2013-07-12,0
2013-07-13,13
2013-07-14,13
2013-07-15,41
2013-07-16,0
2013-07-17,21
2013-07-18,32
2013-07-19,11
2013-07-20,13
2013-07-21,6
2013-07-22,10
2013-07-23,25
2013-07-24,26
2013-07-25,26
2013-07-26,32
2013-07-27,6
2013-07-28,6
2013-07-29,20
2013-07-30,25
2013-07-31,51
2013-08-01,26
2013-08-02,27
2013-08-03,0
2013-08-04,6
2013-08-05,26
2013-08-06,15
2013-08-07,31
2013-08-08,16
2013-08-09,27
2013-08-10,0
2013-08-11,19
2013-08-12,20
2013-08-13,41
2013-08-14,47
2013-08-15,33
2013-08-16,33
2013-08-17,6
2013-08-18,6
2013-08-19,10
2013-08-20,10
2013-08-21,15
2013-08-22,26
2013-08-23,27
2013-08-24,6
2013-08-25,6
2013-08-26,24
2013-08-27,5
2013-08-28,5
2013-08-29,10
2013-08-30,21
2013-08-31,6
2013-09-01,0
2013-09-02,0
2013-09-03,10
2013-09-04,39
2013-09-05,25
2013-09-06,31
2013-09-07,12
2013-09-08,0
2013-09-09,15
2013-09-10,28
2013-09-11,0
2013-09-12,29
2013-09-13,20
2013-09-14,40
2013-09-15,0
2013-09-16,24
2013-09-17,9
2013-09-18,48
2013-09-19,29
2013-09-20,20
2013-09-21,0
2013-09-22,28
2013-09-23,19
2013-09-24,19
2013-09-25,15
2013-09-26,49
2013-09-27,26
2013-09-28,17
2013-09-29,0
2013-09-30,48
2013-10-01,19
2013-10-02,15
2013-10-03,20
2013-10-04,20
2013-10-05,6
2013-10-06,11
2013-10-07,33
2013-10-08,43
2013-10-09,29
2013-10-10,29
2013-10-11,61
2013-10-12,12
2013-10-13,11
2013-10-14,54
2013-10-15,38
2013-10-16,39
2013-10-17,20
2013-10-18,25
2013-10-19,6
2013-10-20,11
2013-10-21,52
2013-10-22,37
2013-10-23,9
2013-10-24,33
2013-10-25,20
2013-10-26,51
2013-10-27,16
2013-10-28,37
2013-10-29,42
2013-10-30,9
2013-10-31,15
2013-11-01,21
2013-11-02,11
2013-11-03,11
2013-11-04,19
2013-11-05,14
2013-11-06,14
2013-11-07,14
2013-11-08,25
2013-11-09,11
2013-11-10,16
2013-11-11,33
2013-11-12,14
2013-11-13,52
2013-11-14,48
2013-11-15,20
2013-11-16,0
2013-11-17,5
2013-11-18,14
2013-11-19,32
2013-11-20,14
2013-11-21,61
2013-11-22,43
2013-11-23,11
2013-11-24,16
2013-11-25,32
2013-11-26,32
2013-11-27,33
2013-11-28,20
2013-11-29,30
2013-11-30,22
2013-12-01,10
2013-12-02,31
2013-12-03,36
2013-12-04,37
2013-12-05,32
2013-12-06,48
2013-12-07,44
2013-12-08,16
2013-12-09,32
2013-12-10,56
2013-12-11,51
2013-12-12,29
2013-12-13,75
2013-12-14,11
2013-12-15,6
2013-12-16,5
2013-12-17,48
2013-12-18,72
2013-12-19,34
2013-12-20,26
2013-12-21,29
2013-12-22,12
2013-12-23,26
2013-12-24,12
2013-12-25,13
2013-12-26,48
2013-12-27,10
2013-12-28,17
2013-12-29,6
2013-12-30,31
2013-12-31,34
2014-01-01,18
2014-01-02,29
2014-01-03,58
2014-01-04,5
2014-01-05,5
2014-01-06,23
2014-01-07,55
2014-01-08,100
2014-01-09,83
2014-01-10,24
2014-01-11,32
2014-01-12,16
2014-01-13,22
2014-01-14,18
2014-01-15,40
2014-01-16,50
2014-01-17,52
2014-01-18,16
2014-01-19,0
2014-01-20,31
2014-01-21,35
2014-01-22,27
2014-01-23,13
2014-01-24,28
2014-01-25,0
2014-01-26,0
2014-01-27,22
2014-01-28,13
2014-01-29,18
2014-01-30,37
2014-01-31,47
2014-02-01,42
2014-02-02,15
2014-02-03,22
2014-02-04,35
2014-02-05,27
2014-02-06,30
2014-02-07,30
2014-02-08,10
2014-02-09,10
2014-02-10,13
2014-02-11,52
2014-02-12,58
2014-02-13,22
2014-02-14,23
2014-02-15,5
2014-02-16,5
2014-02-17,4
2014-02-18,53
2014-02-19,22
2014-02-20,36
2014-02-21,19
2014-02-22,26
2014-02-23,5
2014-02-24,35
2014-02-25,18
2014-02-26,26
2014-02-27,27
2014-02-28,19
2014-03-01,10
2014-03-02,0
2014-03-03,18
2014-03-04,13
2014-03-05,27
2014-03-06,9
2014-03-07,19
2014-03-08,5
2014-03-09,5
2014-03-10,45
2014-03-11,22
2014-03-12,9
2014-03-13,36
2014-03-14,23
2014-03-15,26
2014-03-16,0
