date,MU stock
2013-11-06,9
2013-11-07,24
2013-11-08,30
2013-11-09,17
2013-11-10,28
2013-11-11,9
2013-11-12,9
2013-11-13,28
2013-11-14,43
2013-11-15,50
2013-11-16,6
2013-11-17,11
2013-11-18,33
2013-11-19,38
2013-11-20,37
2013-11-21,43
2013-11-22,34
2013-11-23,6
2013-11-24,16
2013-11-25,37
2013-11-26,19
2013-11-27,24
2013-11-28,30
2013-11-29,10
2013-11-30,23
2013-12-01,10
2013-12-02,9
2013-12-03,38
2013-12-04,46
2013-12-05,38
2013-12-06,25
2013-12-07,17
2013-12-08,11
2013-12-09,88
2013-12-10,65
2013-12-11,33
2013-12-12,14
2013-12-13,45
2013-12-14,29
2013-12-15,22
2013-12-16,57
2013-12-17,53
2013-12-18,83
2013-12-19,50
2013-12-20,47
2013-12-21,12
2013-12-22,18
2013-12-23,48
2013-12-24,6
2013-12-25,0
2013-12-26,43
2013-12-27,26
2013-12-28,12
2013-12-29,6
2013-12-30,10
2013-12-31,86
2014-01-01,18
2014-01-02,20
2014-01-03,30
2014-01-04,5
2014-01-05,0
2014-01-06,28
2014-01-07,64
2014-01-08,83
2014-01-09,69
2014-01-10,48
2014-01-11,22
2014-01-12,11
2014-01-13,59
2014-01-14,54
2014-01-15,23
2014-01-16,41
2014-01-17,14
2014-01-18,11
2014-01-19,11
2014-01-20,14
2014-01-21,41
2014-01-22,22
2014-01-23,23
2014-01-24,66
2014-01-25,11
2014-01-26,16
2014-01-27,18
2014-01-28,31
2014-01-29,27
2014-01-30,32
2014-01-31,28
2014-02-01,58
2014-02-02,26
2014-02-03,9
2014-02-04,18
2014-02-05,27
2014-02-06,43
2014-02-07,26
2014-02-08,5
2014-02-09,5
2014-02-10,40
2014-02-11,27
2014-02-12,54
2014-02-13,18
2014-02-14,14
2014-02-15,21
2014-02-16,16
2014-02-17,22
2014-02-18,22
2014-02-19,36
2014-02-20,41
2014-02-21,47
2014-02-22,0
2014-02-23,11
2014-02-24,31
2014-02-25,22
2014-02-26,36
2014-02-27,27
2014-02-28,28
2014-03-01,11
2014-03-02,0
2014-03-03,54
2014-03-04,42
2014-03-05,41
2014-03-06,32
2014-03-07,19
2014-03-08,5
2014-03-09,5
2014-03-10,18
2014-03-11,18
2014-03-12,22
2014-03-13,23
2014-03-14,43
2014-03-15,10
2014-03-16,5
2014-03-17,18
2014-03-18,27
2014-03-19,22
2014-03-20,18
2014-03-21,24
2014-03-22,5
2014-03-23,0
2014-03-24,26
2014-03-25,13
2014-03-26,53
2014-03-27,18
2014-03-28,19
2014-03-29,0
2014-03-30,11
2014-03-31,31
2014-04-01,49
2014-04-02,27
2014-04-03,23
2014-04-04,93
2014-04-05,16
2014-04-06,10
2014-04-07,40
2014-04-08,22
2014-04-09,23
2014-04-10,41
2014-04-11,14
2014-04-12,27
2014-04-13,5
2014-04-14,36
2014-04-15,14
2014-04-16,14
2014-04-17,5
2014-04-18,21
2014-04-19,0
2014-04-20,17
2014-04-21,34
2014-04-22,36
2014-04-23,45
2014-04-24,23
2014-04-25,10
2014-04-26,11
2014-04-27,10
2014-04-28,27
2014-04-29,62
2014-04-30,14
2014-05-01,30
2014-05-02,29
2014-05-03,16
2014-05-04,10
2014-05-05,32
2014-05-06,36
2014-05-07,27
2014-05-08,54
2014-05-09,33
2014-05-10,16
2014-05-11,0
2014-05-12,22
2014-05-13,27
2014-05-14,5
2014-05-15,31
2014-05-16,9
2014-05-17,11
2014-05-18,11
2014-05-19,31
2014-05-20,27
2014-05-21,5
2014-05-22,30
2014-05-23,26
2014-05-24,18
2014-05-25,12
2014-05-26,5
2014-05-27,43
2014-05-28,10
2014-05-29,31
2014-05-30,21
2014-05-31,12
2014-06-01,0
2014-06-02,15
2014-06-03,10
2014-06-04,20
2014-06-05,30
2014-06-06,26
2014-06-07,12
2014-06-08,25
2014-06-09,25
2014-06-10,15
2014-06-11,50
2014-06-12,20
2014-06-13,26
2014-06-14,12
2014-06-15,6
2014-06-16,64
2014-06-17,44
2014-06-18,40
2014-06-19,26
2014-06-20,16
2014-06-21,6
2014-06-22,6
2014-06-23,50
2014-06-24,100
2014-06-25,64
2014-06-26,50
2014-06-27,53
2014-06-28,37
2014-06-29,18
2014-06-30,20
2014-07-01,50
2014-07-02,76
2014-07-03,26
2014-07-04,0
2014-07-05,6
2014-07-06,6
2014-07-07,25
2014-07-08,40
2014-07-09,30
2014-07-10,56
2014-07-11,57
2014-07-12,6
2014-07-13,0
2014-07-14,20
2014-07-15,60
2014-07-16,31
2014-07-17,46
2014-07-18,16
2014-07-19,12
2014-07-20,6
2014-07-21,25
2014-07-22,20
2014-07-23,26
2014-07-24,26
