date,HAS stock
2017-01-19,44
2017-01-20,42
2017-01-21,33
2017-01-22,37
2017-01-23,48
2017-01-24,40
2017-01-25,58
2017-01-26,61
2017-01-27,48
2017-01-28,45
2017-01-29,43
2017-01-30,65
2017-01-31,71
2017-02-01,62
2017-02-02,62
2017-02-03,55
2017-02-04,42
2017-02-05,52
2017-02-06,66
2017-02-07,68
2017-02-08,67
2017-02-09,68
2017-02-10,61
2017-02-11,39
2017-02-12,58
2017-02-13,57
2017-02-14,57
2017-02-15,62
2017-02-16,67
2017-02-17,61
2017-02-18,51
2017-02-19,57
2017-02-20,72
2017-02-21,71
2017-02-22,67
2017-02-23,49
2017-02-24,57
2017-02-25,52
2017-02-26,58
2017-02-27,73
2017-02-28,68
2017-03-01,80
2017-03-02,69
2017-03-03,71
2017-03-04,63
2017-03-05,62
2017-03-06,66
2017-03-07,68
2017-03-08,71
2017-03-09,64
2017-03-10,58
2017-03-11,34
2017-03-12,52
2017-03-13,50
2017-03-14,52
2017-03-15,64
2017-03-16,52
2017-03-17,55
2017-03-18,42
2017-03-19,46
2017-03-20,57
2017-03-21,69
2017-03-22,57
2017-03-23,60
2017-03-24,53
2017-03-25,55
2017-03-26,42
2017-03-27,84
2017-03-28,73
2017-03-29,78
2017-03-30,64
2017-03-31,50
2017-04-01,53
2017-04-02,53
2017-04-03,79
2017-04-04,73
2017-04-05,62
2017-04-06,70
2017-04-07,57
2017-04-08,44
2017-04-09,55
2017-04-10,86
2017-04-11,92
2017-04-12,80
2017-04-13,84
2017-04-14,55
2017-04-15,50
2017-04-16,54
2017-04-17,88
2017-04-18,76
2017-04-19,84
2017-04-20,86
2017-04-21,80
2017-04-22,64
2017-04-23,74
2017-04-24,88
2017-04-25,77
2017-04-26,90
2017-04-27,81
2017-04-28,68
2017-04-29,60
2017-04-30,68
2017-05-01,100
2017-05-02,88
2017-05-03,75
2017-05-04,65
2017-05-05,65
2017-05-06,34
2017-05-07,44
2017-05-08,60
2017-05-09,72
2017-05-10,60
2017-05-11,59
2017-05-12,45
2017-05-13,32
2017-05-14,35
2017-05-15,57
2017-05-16,44
2017-05-17,52
2017-05-18,40
2017-05-19,30
2017-05-20,32
2017-05-21,30
2017-05-22,43
2017-05-23,35
2017-05-24,32
2017-05-25,39
2017-05-26,40
2017-05-27,34
2017-05-28,32
2017-05-29,25
2017-05-30,33
2017-05-31,40
2017-06-01,37
2017-06-02,35
2017-06-03,25
2017-06-04,32
2017-06-05,37
2017-06-06,40
2017-06-07,38
2017-06-08,40
2017-06-09,41
2017-06-10,35
2017-06-11,33
2017-06-12,34
2017-06-13,36
2017-06-14,54
2017-06-15,39
2017-06-16,45
2017-06-17,27
2017-06-18,22
2017-06-19,43
2017-06-20,50
2017-06-21,43
2017-06-22,43
2017-06-23,33
2017-06-24,30
2017-06-25,24
2017-06-26,38
2017-06-27,43
2017-06-28,34
2017-06-29,39
2017-06-30,29
2017-07-01,23
2017-07-02,27
2017-07-03,34
2017-07-04,32
2017-07-05,28
2017-07-06,42
2017-07-07,40
2017-07-08,25
2017-07-09,32
2017-07-10,34
2017-07-11,29
2017-07-12,34
2017-07-13,32
2017-07-14,34
2017-07-15,26
2017-07-16,27
2017-07-17,42
2017-07-18,29
2017-07-19,35
2017-07-20,44
2017-07-21,30
2017-07-22,22
2017-07-23,26
2017-07-24,47
2017-07-25,44
2017-07-26,46
2017-07-27,38
2017-07-28,50
2017-07-29,31
2017-07-30,26
2017-07-31,50
2017-08-01,39
2017-08-02,45
2017-08-03,51
2017-08-04,38
2017-08-05,31
2017-08-06,31
2017-08-07,47
2017-08-08,39
2017-08-09,39
2017-08-10,36
2017-08-11,39
2017-08-12,28
2017-08-13,29
2017-08-14,27
2017-08-15,42
2017-08-16,38
2017-08-17,34
2017-08-18,35
2017-08-19,29
2017-08-20,29
2017-08-21,34
2017-08-22,30
2017-08-23,30
2017-08-24,39
2017-08-25,40
2017-08-26,18
2017-08-27,27
2017-08-28,30
2017-08-29,47
2017-08-30,27
2017-08-31,48
2017-09-01,37
2017-09-02,27
2017-09-03,34
2017-09-04,36
2017-09-05,37
2017-09-06,49
2017-09-07,46
2017-09-08,47
2017-09-09,27
2017-09-10,31
2017-09-11,62
2017-09-12,46
2017-09-13,53
2017-09-14,49
2017-09-15,44
2017-09-16,34
2017-09-17,42
2017-09-18,61
2017-09-19,66
2017-09-20,58
2017-09-21,53
2017-09-22,55
2017-09-23,41
2017-09-24,45
2017-09-25,61
2017-09-26,60
2017-09-27,47
2017-09-28,53
2017-09-29,41
2017-09-30,46
2017-10-01,42
2017-10-02,62
2017-10-03,67
2017-10-04,58
2017-10-05,68
2017-10-06,52
