date,ADSK stock
2017-10-06,36
2017-10-07,0
2017-10-08,13
2017-10-09,6
2017-10-10,0
2017-10-11,6
2017-10-12,12
2017-10-13,18
2017-10-14,0
2017-10-15,0
2017-10-16,6
2017-10-17,6
2017-10-18,23
2017-10-19,6
2017-10-20,24
2017-10-21,0
2017-10-22,0
2017-10-23,6
2017-10-24,17
2017-10-25,0
2017-10-26,12
2017-10-27,18
2017-10-28,0
2017-10-29,6
2017-10-30,17
2017-10-31,12
2017-11-01,17
2017-11-02,6
2017-11-03,12
2017-11-04,6
2017-11-05,0
2017-11-06,0
2017-11-07,11
2017-11-08,6
2017-11-09,0
2017-11-10,12
2017-11-11,13
2017-11-12,0
2017-11-13,6
2017-11-14,0
2017-11-15,6
2017-11-16,17
2017-11-17,6
2017-11-18,0
2017-11-19,0
2017-11-20,11
2017-11-21,0
2017-11-22,11
2017-11-23,0
2017-11-24,11
2017-11-25,6
2017-11-26,6
2017-11-27,11
2017-11-28,76
2017-11-29,100
2017-11-30,79
2017-12-01,17
2017-12-02,0
2017-12-03,6
2017-12-04,0
2017-12-05,11
2017-12-06,28
2017-12-07,22
2017-12-08,24
2017-12-09,0
2017-12-10,0
2017-12-11,5
2017-12-12,16
2017-12-13,5
2017-12-14,17
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,17
2017-12-19,11
2017-12-20,11
2017-12-21,6
2017-12-22,12
2017-12-23,7
2017-12-24,0
2017-12-25,7
2017-12-26,6
2017-12-27,12
2017-12-28,12
2017-12-29,6
2017-12-30,7
2017-12-31,0
2018-01-01,0
2018-01-02,23
2018-01-03,28
2018-01-04,11
2018-01-05,11
2018-01-06,12
2018-01-07,0
2018-01-08,16
2018-01-09,11
2018-01-10,0
2018-01-11,0
2018-01-12,11
2018-01-13,12
2018-01-14,0
2018-01-15,11
2018-01-16,11
2018-01-17,11
2018-01-18,5
2018-01-19,6
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,21
2018-01-24,21
2018-01-25,22
2018-01-26,17
2018-01-27,12
2018-01-28,12
2018-01-29,11
2018-01-30,5
2018-01-31,11
2018-02-01,16
2018-02-02,17
2018-02-03,0
2018-02-04,6
2018-02-05,11
2018-02-06,11
2018-02-07,11
2018-02-08,11
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,0
2018-02-13,21
2018-02-14,11
2018-02-15,0
2018-02-16,11
2018-02-17,6
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,11
2018-02-22,5
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,5
2018-02-27,10
2018-02-28,0
2018-03-01,16
2018-03-02,6
2018-03-03,6
2018-03-04,12
2018-03-05,0
2018-03-06,47
2018-03-07,58
2018-03-08,38
2018-03-09,33
2018-03-10,6
2018-03-11,0
2018-03-12,26
2018-03-13,21
2018-03-14,0
2018-03-15,5
2018-03-16,0
2018-03-17,12
2018-03-18,12
2018-03-19,16
2018-03-20,16
2018-03-21,16
2018-03-22,11
2018-03-23,0
2018-03-24,6
2018-03-25,6
2018-03-26,11
2018-03-27,16
2018-03-28,11
2018-03-29,6
2018-03-30,12
2018-03-31,0
2018-04-01,0
2018-04-02,23
2018-04-03,11
2018-04-04,11
2018-04-05,5
2018-04-06,11
2018-04-07,12
2018-04-08,0
