date,ADSK stock
2016-09-11,0
2016-09-12,0
2016-09-13,0
2016-09-14,0
2016-09-15,6
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,12
2016-09-20,12
2016-09-21,0
2016-09-22,24
2016-09-23,6
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,6
2016-09-28,12
2016-09-29,18
2016-09-30,12
2016-10-01,7
2016-10-02,6
2016-10-03,0
2016-10-04,12
2016-10-05,0
2016-10-06,23
2016-10-07,6
2016-10-08,7
2016-10-09,0
2016-10-10,6
2016-10-11,6
2016-10-12,0
2016-10-13,0
2016-10-14,6
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,6
2016-10-19,0
2016-10-20,12
2016-10-21,6
2016-10-22,0
2016-10-23,0
2016-10-24,6
2016-10-25,0
2016-10-26,6
2016-10-27,0
2016-10-28,0
2016-10-29,7
2016-10-30,0
2016-10-31,6
2016-11-01,12
2016-11-02,6
2016-11-03,6
2016-11-04,6
2016-11-05,0
2016-11-06,0
2016-11-07,6
2016-11-08,0
2016-11-09,26
2016-11-10,17
2016-11-11,12
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,6
2016-11-17,0
2016-11-18,6
2016-11-19,0
2016-11-20,6
2016-11-21,0
2016-11-22,17
2016-11-23,0
2016-11-24,6
2016-11-25,6
2016-11-26,6
2016-11-27,0
2016-11-28,11
2016-11-29,33
2016-11-30,17
2016-12-01,28
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,5
2016-12-07,32
2016-12-08,22
2016-12-09,6
2016-12-10,6
2016-12-11,0
2016-12-12,5
2016-12-13,5
2016-12-14,5
2016-12-15,6
2016-12-16,0
2016-12-17,7
2016-12-18,0
2016-12-19,0
2016-12-20,11
2016-12-21,12
2016-12-22,6
2016-12-23,0
2016-12-24,7
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,6
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,17
2017-01-06,0
2017-01-07,6
2017-01-08,6
2017-01-09,0
2017-01-10,0
2017-01-11,16
2017-01-12,0
2017-01-13,6
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,5
2017-01-18,0
2017-01-19,5
2017-01-20,0
2017-01-21,6
2017-01-22,0
2017-01-23,10
2017-01-24,5
2017-01-25,0
2017-01-26,5
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,11
2017-02-03,22
2017-02-04,0
2017-02-05,0
2017-02-06,5
2017-02-07,16
2017-02-08,5
2017-02-09,11
2017-02-10,0
2017-02-11,6
2017-02-12,0
2017-02-13,10
2017-02-14,11
2017-02-15,11
2017-02-16,26
2017-02-17,5
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,16
2017-02-22,16
2017-02-23,5
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,10
2017-02-28,16
2017-03-01,5
2017-03-02,20
2017-03-03,16
2017-03-04,0
2017-03-05,6
2017-03-06,10
2017-03-07,5
2017-03-08,26
2017-03-09,0
2017-03-10,11
2017-03-11,0
2017-03-12,0
2017-03-13,5
2017-03-14,10
2017-03-15,0
2017-03-16,5
2017-03-17,5
2017-03-18,6
2017-03-19,0
2017-03-20,0
2017-03-21,16
2017-03-22,10
2017-03-23,5
2017-03-24,22
2017-03-25,0
2017-03-26,6
2017-03-27,10
2017-03-28,5
2017-03-29,11
2017-03-30,5
2017-03-31,11
2017-04-01,0
2017-04-02,12
2017-04-03,0
2017-04-04,5
2017-04-05,5
2017-04-06,11
2017-04-07,11
2017-04-08,0
2017-04-09,6
2017-04-10,0
2017-04-11,16
2017-04-12,0
2017-04-13,0
2017-04-14,6
2017-04-15,0
2017-04-16,0
2017-04-17,5
2017-04-18,5
2017-04-19,5
2017-04-20,16
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,16
2017-04-25,10
2017-04-26,5
2017-04-27,16
2017-04-28,5
2017-04-29,0
2017-04-30,0
2017-05-01,11
2017-05-02,5
2017-05-03,16
2017-05-04,11
2017-05-05,11
2017-05-06,6
2017-05-07,0
2017-05-08,5
2017-05-09,21
2017-05-10,0
2017-05-11,5
2017-05-12,5
2017-05-13,12
2017-05-14,0
2017-05-15,11
2017-05-16,0
2017-05-17,11
2017-05-18,39
2017-05-19,100
2017-05-20,13
2017-05-21,0
2017-05-22,28
2017-05-23,11
2017-05-24,17
2017-05-25,12
2017-05-26,18
2017-05-27,0
2017-05-28,0
2017-05-29,6
