date,ADSK stock
2017-01-19,0
2017-01-20,6
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,6
2017-01-25,6
2017-01-26,0
2017-01-27,6
2017-01-28,0
2017-01-29,0
2017-01-30,6
2017-01-31,0
2017-02-01,6
2017-02-02,11
2017-02-03,6
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,22
2017-02-08,39
2017-02-09,6
2017-02-10,18
2017-02-11,6
2017-02-12,6
2017-02-13,0
2017-02-14,17
2017-02-15,11
2017-02-16,6
2017-02-17,11
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,6
2017-02-22,0
2017-02-23,17
2017-02-24,0
2017-02-25,7
2017-02-26,6
2017-02-27,6
2017-02-28,0
2017-03-01,16
2017-03-02,11
2017-03-03,17
2017-03-04,6
2017-03-05,0
2017-03-06,11
2017-03-07,16
2017-03-08,6
2017-03-09,0
2017-03-10,6
2017-03-11,0
2017-03-12,0
2017-03-13,16
2017-03-14,11
2017-03-15,0
2017-03-16,0
2017-03-17,6
2017-03-18,0
2017-03-19,0
2017-03-20,11
2017-03-21,11
2017-03-22,11
2017-03-23,0
2017-03-24,6
2017-03-25,0
2017-03-26,0
2017-03-27,22
2017-03-28,17
2017-03-29,23
2017-03-30,6
2017-03-31,18
2017-04-01,13
2017-04-02,7
2017-04-03,11
2017-04-04,0
2017-04-05,6
2017-04-06,0
2017-04-07,6
2017-04-08,0
2017-04-09,0
2017-04-10,6
2017-04-11,6
2017-04-12,0
2017-04-13,0
2017-04-14,19
2017-04-15,0
2017-04-16,0
2017-04-17,12
2017-04-18,17
2017-04-19,0
2017-04-20,6
2017-04-21,6
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,17
2017-04-26,17
2017-04-27,17
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,6
2017-05-02,0
2017-05-03,11
2017-05-04,28
2017-05-05,17
2017-05-06,13
2017-05-07,0
2017-05-08,6
2017-05-09,0
2017-05-10,6
2017-05-11,0
2017-05-12,29
2017-05-13,7
2017-05-14,7
2017-05-15,29
2017-05-16,6
2017-05-17,12
2017-05-18,66
2017-05-19,100
2017-05-20,14
2017-05-21,14
2017-05-22,30
2017-05-23,35
2017-05-24,36
2017-05-25,18
2017-05-26,13
2017-05-27,0
2017-05-28,0
2017-05-29,6
2017-05-30,6
2017-05-31,12
2017-06-01,24
2017-06-02,0
2017-06-03,7
2017-06-04,7
2017-06-05,6
2017-06-06,23
2017-06-07,29
2017-06-08,0
2017-06-09,18
2017-06-10,7
2017-06-11,7
2017-06-12,6
2017-06-13,6
2017-06-14,6
2017-06-15,6
2017-06-16,6
2017-06-17,0
2017-06-18,0
2017-06-19,6
2017-06-20,12
2017-06-21,28
2017-06-22,0
2017-06-23,0
2017-06-24,7
2017-06-25,7
2017-06-26,12
2017-06-27,0
2017-06-28,12
2017-06-29,12
2017-06-30,13
2017-07-01,0
2017-07-02,0
2017-07-03,12
2017-07-04,6
2017-07-05,12
2017-07-06,6
2017-07-07,6
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,18
2017-07-12,0
2017-07-13,0
2017-07-14,6
2017-07-15,0
2017-07-16,0
2017-07-17,6
2017-07-18,12
2017-07-19,30
2017-07-20,0
2017-07-21,6
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,6
2017-07-27,0
2017-07-28,0
2017-07-29,7
2017-07-30,0
2017-07-31,0
2017-08-01,11
2017-08-02,17
2017-08-03,6
2017-08-04,18
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,6
2017-08-09,12
2017-08-10,6
2017-08-11,0
2017-08-12,0
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,0
2017-08-17,36
2017-08-18,6
2017-08-19,0
2017-08-20,0
2017-08-21,6
2017-08-22,6
2017-08-23,0
2017-08-24,29
2017-08-25,37
2017-08-26,0
2017-08-27,0
2017-08-28,29
2017-08-29,12
2017-08-30,17
2017-08-31,6
2017-09-01,18
2017-09-02,7
2017-09-03,0
2017-09-04,6
2017-09-05,0
2017-09-06,11
2017-09-07,6
2017-09-08,0
2017-09-09,0
2017-09-10,13
2017-09-11,11
2017-09-12,17
2017-09-13,11
2017-09-14,29
2017-09-15,6
2017-09-16,0
2017-09-17,0
2017-09-18,17
2017-09-19,0
2017-09-20,6
2017-09-21,6
2017-09-22,12
2017-09-23,7
2017-09-24,0
2017-09-25,11
2017-09-26,11
2017-09-27,34
2017-09-28,6
2017-09-29,6
2017-09-30,7
2017-10-01,0
2017-10-02,0
2017-10-03,11
2017-10-04,17
2017-10-05,17
2017-10-06,29
