date,MNST stock
2016-05-04,36
2016-05-05,28
2016-05-06,19
2016-05-07,0
2016-05-08,0
2016-05-09,54
2016-05-10,35
2016-05-11,17
2016-05-12,18
2016-05-13,18
2016-05-14,42
2016-05-15,0
2016-05-16,18
2016-05-17,26
2016-05-18,0
2016-05-19,18
2016-05-20,19
2016-05-21,63
2016-05-22,0
2016-05-23,26
2016-05-24,36
2016-05-25,0
2016-05-26,46
2016-05-27,56
2016-05-28,42
2016-05-29,0
2016-05-30,0
2016-05-31,27
2016-06-01,36
2016-06-02,36
2016-06-03,19
2016-06-04,0
2016-06-05,21
2016-06-06,18
2016-06-07,36
2016-06-08,18
2016-06-09,27
2016-06-10,0
2016-06-11,21
2016-06-12,20
2016-06-13,53
2016-06-14,0
2016-06-15,27
2016-06-16,18
2016-06-17,47
2016-06-18,21
2016-06-19,0
2016-06-20,18
2016-06-21,18
2016-06-22,18
2016-06-23,19
2016-06-24,19
2016-06-25,0
2016-06-26,42
2016-06-27,18
2016-06-28,46
2016-06-29,19
2016-06-30,0
2016-07-01,19
2016-07-02,0
2016-07-03,22
2016-07-04,0
2016-07-05,38
2016-07-06,19
2016-07-07,39
2016-07-08,20
2016-07-09,22
2016-07-10,22
2016-07-11,38
2016-07-12,38
2016-07-13,0
2016-07-14,18
2016-07-15,20
2016-07-16,22
2016-07-17,22
2016-07-18,29
2016-07-19,57
2016-07-20,19
2016-07-21,39
2016-07-22,19
2016-07-23,0
2016-07-24,0
2016-07-25,19
2016-07-26,19
2016-07-27,0
2016-07-28,38
2016-07-29,20
2016-07-30,0
2016-07-31,22
2016-08-01,38
2016-08-02,56
2016-08-03,19
2016-08-04,39
2016-08-05,41
2016-08-06,0
2016-08-07,0
2016-08-08,20
2016-08-09,19
2016-08-10,0
2016-08-11,0
2016-08-12,21
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,20
2016-08-17,20
2016-08-18,20
2016-08-19,21
2016-08-20,23
2016-08-21,0
2016-08-22,0
2016-08-23,40
2016-08-24,0
2016-08-25,19
2016-08-26,39
2016-08-27,0
2016-08-28,0
2016-08-29,19
2016-08-30,0
2016-08-31,19
2016-09-01,0
2016-09-02,20
2016-09-03,0
2016-09-04,0
2016-09-05,38
2016-09-06,18
2016-09-07,19
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,22
2016-09-12,19
2016-09-13,18
2016-09-14,18
2016-09-15,19
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,18
2016-09-21,18
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,18
2016-09-27,18
2016-09-28,18
2016-09-29,18
2016-09-30,19
2016-10-01,0
2016-10-02,0
2016-10-03,36
2016-10-04,18
2016-10-05,18
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,18
2016-10-11,18
2016-10-12,19
2016-10-13,0
2016-10-14,47
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,18
2016-10-20,0
2016-10-21,38
2016-10-22,21
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,36
2016-10-27,0
2016-10-28,38
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,37
2016-11-02,18
2016-11-03,36
2016-11-04,65
2016-11-05,0
2016-11-06,0
2016-11-07,18
2016-11-08,35
2016-11-09,41
2016-11-10,100
2016-11-11,56
2016-11-12,0
2016-11-13,20
2016-11-14,0
2016-11-15,36
2016-11-16,36
2016-11-17,27
2016-11-18,28
2016-11-19,0
2016-11-20,0
2016-11-21,17
2016-11-22,44
2016-11-23,35
2016-11-24,18
2016-11-25,18
2016-11-26,20
2016-11-27,0
2016-11-28,42
2016-11-29,34
2016-11-30,17
2016-12-01,18
2016-12-02,90
2016-12-03,20
2016-12-04,19
2016-12-05,47
2016-12-06,50
2016-12-07,26
2016-12-08,17
2016-12-09,18
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,34
2016-12-14,17
2016-12-15,18
2016-12-16,37
2016-12-17,0
2016-12-18,20
2016-12-19,27
2016-12-20,36
2016-12-21,18
2016-12-22,19
2016-12-23,19
2016-12-24,0
2016-12-25,45
2016-12-26,20
2016-12-27,0
2016-12-28,18
2016-12-29,19
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,18
2017-01-04,17
2017-01-05,18
2017-01-06,54
2017-01-07,0
2017-01-08,0
2017-01-09,17
2017-01-10,17
2017-01-11,25
2017-01-12,43
2017-01-13,17
2017-01-14,0
2017-01-15,38
2017-01-16,17
2017-01-17,82
2017-01-18,33
2017-01-19,17
