date,MNST stock
2017-05-29,22
2017-05-30,21
2017-05-31,41
2017-06-01,21
2017-06-02,44
2017-06-03,0
2017-06-04,24
2017-06-05,0
2017-06-06,0
2017-06-07,41
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,20
2017-06-14,21
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,21
2017-06-20,20
2017-06-21,20
2017-06-22,41
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,22
2017-06-28,0
2017-06-29,22
2017-06-30,45
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,22
2017-07-05,0
2017-07-06,87
2017-07-07,22
2017-07-08,0
2017-07-09,25
2017-07-10,21
2017-07-11,0
2017-07-12,21
2017-07-13,0
2017-07-14,0
2017-07-15,25
2017-07-16,0
2017-07-17,86
2017-07-18,21
2017-07-19,42
2017-07-20,0
2017-07-21,22
2017-07-22,24
2017-07-23,0
2017-07-24,21
2017-07-25,0
2017-07-26,62
2017-07-27,0
2017-07-28,0
2017-07-29,24
2017-07-30,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,41
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,20
2017-08-08,39
2017-08-09,40
2017-08-10,21
2017-08-11,21
2017-08-12,47
2017-08-13,24
2017-08-14,0
2017-08-15,21
2017-08-16,20
2017-08-17,82
2017-08-18,42
2017-08-19,0
2017-08-20,23
2017-08-21,20
2017-08-22,20
2017-08-23,41
2017-08-24,21
2017-08-25,22
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,20
2017-08-31,20
2017-09-01,21
2017-09-02,24
2017-09-03,0
2017-09-04,0
2017-09-05,40
2017-09-06,20
2017-09-07,0
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,20
2017-09-12,0
2017-09-13,20
2017-09-14,0
2017-09-15,21
2017-09-16,23
2017-09-17,0
2017-09-18,0
2017-09-19,39
2017-09-20,79
2017-09-21,0
2017-09-22,42
2017-09-23,0
2017-09-24,0
2017-09-25,59
2017-09-26,0
2017-09-27,20
2017-09-28,20
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,20
2017-10-03,0
2017-10-04,40
2017-10-05,20
2017-10-06,41
2017-10-07,23
2017-10-08,0
2017-10-09,20
2017-10-10,39
2017-10-11,20
2017-10-12,0
2017-10-13,41
2017-10-14,0
2017-10-15,0
2017-10-16,20
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,23
2017-10-22,0
2017-10-23,19
2017-10-24,0
2017-10-25,19
2017-10-26,0
2017-10-27,21
2017-10-28,23
2017-10-29,0
2017-10-30,0
2017-10-31,20
2017-11-01,20
2017-11-02,60
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,38
2017-11-07,19
2017-11-08,77
2017-11-09,97
2017-11-10,100
2017-11-11,0
2017-11-12,0
2017-11-13,19
2017-11-14,38
2017-11-15,19
2017-11-16,19
2017-11-17,20
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,19
2017-11-22,19
2017-11-23,0
2017-11-24,20
2017-11-25,0
2017-11-26,21
2017-11-27,0
2017-11-28,38
2017-11-29,58
2017-11-30,0
2017-12-01,41
2017-12-02,0
2017-12-03,22
2017-12-04,38
2017-12-05,57
2017-12-06,19
2017-12-07,20
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,19
2017-12-12,19
2017-12-13,19
2017-12-14,19
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,19
2017-12-19,0
2017-12-20,0
2017-12-21,21
2017-12-22,22
2017-12-23,47
2017-12-24,25
2017-12-25,0
2017-12-26,22
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,24
2018-01-02,20
2018-01-03,0
2018-01-04,19
2018-01-05,0
2018-01-06,21
2018-01-07,0
2018-01-08,0
2018-01-09,38
2018-01-10,19
2018-01-11,56
2018-01-12,39
2018-01-13,0
2018-01-14,21
2018-01-15,19
2018-01-16,19
2018-01-17,37
2018-01-18,37
2018-01-19,20
2018-01-20,0
2018-01-21,0
2018-01-22,19
2018-01-23,37
2018-01-24,18
2018-01-25,19
2018-01-26,20
2018-01-27,22
2018-01-28,0
2018-01-29,0
2018-01-30,19
2018-01-31,19
2018-02-01,56
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,19
2018-02-06,55
2018-02-07,37
2018-02-08,37
2018-02-09,39
2018-02-10,0
2018-02-11,0
2018-02-12,57
2018-02-13,19
