date,MNST stock
2018-02-13,32
2018-02-14,16
2018-02-15,32
2018-02-16,49
2018-02-17,18
2018-02-18,0
2018-02-19,16
2018-02-20,23
2018-02-21,16
2018-02-22,16
2018-02-23,65
2018-02-24,35
2018-02-25,0
2018-02-26,31
2018-02-27,38
2018-02-28,100
2018-03-01,68
2018-03-02,40
2018-03-03,35
2018-03-04,17
2018-03-05,31
2018-03-06,54
2018-03-07,47
2018-03-08,31
2018-03-09,49
2018-03-10,18
2018-03-11,0
2018-03-12,15
2018-03-13,15
2018-03-14,0
2018-03-15,31
2018-03-16,64
2018-03-17,0
2018-03-18,17
2018-03-19,31
2018-03-20,16
2018-03-21,0
2018-03-22,16
2018-03-23,16
2018-03-24,18
2018-03-25,0
2018-03-26,31
2018-03-27,63
2018-03-28,24
2018-03-29,0
2018-03-30,0
2018-03-31,36
2018-04-01,19
2018-04-02,33
2018-04-03,15
2018-04-04,16
2018-04-05,24
2018-04-06,16
2018-04-07,36
2018-04-08,18
2018-04-09,16
2018-04-10,23
2018-04-11,15
2018-04-12,16
2018-04-13,33
2018-04-14,0
2018-04-15,0
