date,MNST stock
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,7
2014-12-05,0
2014-12-06,0
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,7
2014-12-11,7
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,15
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,16
2014-12-23,0
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,8
2014-12-31,0
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,7
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,8
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,21
2015-01-15,7
2015-01-16,14
2015-01-17,8
2015-01-18,0
2015-01-19,0
2015-01-20,7
2015-01-21,0
2015-01-22,0
2015-01-23,7
2015-01-24,0
2015-01-25,0
2015-01-26,7
2015-01-27,7
2015-01-28,0
2015-01-29,7
2015-01-30,0
2015-01-31,0
2015-02-01,0
2015-02-02,7
2015-02-03,7
2015-02-04,0
2015-02-05,21
2015-02-06,7
2015-02-07,8
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,14
2015-02-12,0
2015-02-13,0
2015-02-14,8
2015-02-15,0
2015-02-16,0
2015-02-17,14
2015-02-18,7
2015-02-19,7
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,7
2015-02-24,7
2015-02-25,0
2015-02-26,21
2015-02-27,100
2015-02-28,0
2015-03-01,16
2015-03-02,27
2015-03-03,7
2015-03-04,20
2015-03-05,14
2015-03-06,22
2015-03-07,8
2015-03-08,8
2015-03-09,27
2015-03-10,7
2015-03-11,0
2015-03-12,7
2015-03-13,0
2015-03-14,0
2015-03-15,0
2015-03-16,0
2015-03-17,0
2015-03-18,14
2015-03-19,21
2015-03-20,7
2015-03-21,8
2015-03-22,8
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,16
2015-03-27,0
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,7
2015-04-01,0
2015-04-02,7
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,7
2015-04-07,0
2015-04-08,14
2015-04-09,14
2015-04-10,0
2015-04-11,8
2015-04-12,0
2015-04-13,7
2015-04-14,7
2015-04-15,0
2015-04-16,14
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,7
2015-04-21,0
2015-04-22,0
2015-04-23,14
2015-04-24,7
2015-04-25,0
2015-04-26,8
2015-04-27,14
2015-04-28,0
2015-04-29,7
2015-04-30,14
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,7
2015-05-05,27
2015-05-06,14
2015-05-07,0
2015-05-08,22
2015-05-09,8
2015-05-10,8
2015-05-11,7
2015-05-12,14
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,8
2015-05-17,0
2015-05-18,14
2015-05-19,7
2015-05-20,0
2015-05-21,14
2015-05-22,0
2015-05-23,0
2015-05-24,8
2015-05-25,0
2015-05-26,7
2015-05-27,0
2015-05-28,7
2015-05-29,7
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,7
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,0
2015-06-12,7
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,13
2015-06-17,7
2015-06-18,0
2015-06-19,7
2015-06-20,0
2015-06-21,8
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,7
2015-06-26,7
2015-06-27,8
2015-06-28,0
2015-06-29,7
2015-06-30,0
2015-07-01,0
2015-07-02,7
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,7
2015-07-07,0
2015-07-08,0
2015-07-09,14
2015-07-10,7
2015-07-11,8
2015-07-12,0
2015-07-13,7
2015-07-14,7
2015-07-15,14
2015-07-16,0
2015-07-17,15
2015-07-18,9
2015-07-19,9
2015-07-20,7
2015-07-21,7
2015-07-22,0
2015-07-23,7
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,7
2015-07-29,7
2015-07-30,14
2015-07-31,0
2015-08-01,8
2015-08-02,0
2015-08-03,0
2015-08-04,7
2015-08-05,7
2015-08-06,14
2015-08-07,36
2015-08-08,8
2015-08-09,0
2015-08-10,7
2015-08-11,14
2015-08-12,7
2015-08-13,14
2015-08-14,0
2015-08-15,0
2015-08-16,8
2015-08-17,0
2015-08-18,7
