date,MNST stock
2017-01-19,19
2017-01-20,10
2017-01-21,11
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,29
2017-01-27,0
2017-01-28,11
2017-01-29,0
2017-01-30,0
2017-01-31,19
2017-02-01,9
2017-02-02,10
2017-02-03,20
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,9
2017-02-08,0
2017-02-09,39
2017-02-10,10
2017-02-11,0
2017-02-12,0
2017-02-13,28
2017-02-14,29
2017-02-15,0
2017-02-16,28
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,9
2017-02-22,0
2017-02-23,10
2017-02-24,10
2017-02-25,0
2017-02-26,0
2017-02-27,18
2017-02-28,28
2017-03-01,100
2017-03-02,64
2017-03-03,48
2017-03-04,0
2017-03-05,21
2017-03-06,27
2017-03-07,18
2017-03-08,9
2017-03-09,9
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,19
2017-03-15,9
2017-03-16,0
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,9
2017-03-21,9
2017-03-22,9
2017-03-23,0
2017-03-24,10
2017-03-25,0
2017-03-26,0
2017-03-27,19
2017-03-28,0
2017-03-29,28
2017-03-30,0
2017-03-31,10
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,19
2017-04-06,10
2017-04-07,10
2017-04-08,0
2017-04-09,0
2017-04-10,38
2017-04-11,10
2017-04-12,10
2017-04-13,10
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,20
2017-04-18,9
2017-04-19,9
2017-04-20,9
2017-04-21,10
2017-04-22,0
2017-04-23,0
2017-04-24,19
2017-04-25,9
2017-04-26,0
2017-04-27,0
2017-04-28,30
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,9
2017-05-03,9
2017-05-04,67
2017-05-05,30
2017-05-06,11
2017-05-07,22
2017-05-08,9
2017-05-09,46
2017-05-10,38
2017-05-11,10
2017-05-12,20
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,10
2017-05-17,0
2017-05-18,10
2017-05-19,21
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,10
2017-05-24,21
2017-05-25,42
2017-05-26,22
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,0
2017-05-31,10
2017-06-01,10
2017-06-02,11
2017-06-03,12
2017-06-04,11
2017-06-05,0
2017-06-06,20
2017-06-07,19
2017-06-08,10
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,20
2017-06-13,0
2017-06-14,20
2017-06-15,31
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,10
2017-06-20,19
2017-06-21,0
2017-06-22,10
2017-06-23,20
2017-06-24,0
2017-06-25,0
2017-06-26,20
2017-06-27,10
2017-06-28,10
2017-06-29,21
2017-06-30,11
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,0
2017-07-05,21
2017-07-06,0
2017-07-07,11
2017-07-08,0
2017-07-09,12
2017-07-10,0
2017-07-11,10
2017-07-12,0
2017-07-13,10
2017-07-14,11
2017-07-15,0
2017-07-16,0
2017-07-17,10
2017-07-18,0
2017-07-19,10
2017-07-20,10
2017-07-21,0
2017-07-22,12
2017-07-23,12
2017-07-24,0
2017-07-25,20
2017-07-26,0
2017-07-27,0
2017-07-28,11
2017-07-29,0
2017-07-30,12
2017-07-31,10
2017-08-01,19
2017-08-02,0
2017-08-03,20
2017-08-04,0
2017-08-05,12
2017-08-06,0
2017-08-07,19
2017-08-08,85
2017-08-09,20
2017-08-10,30
2017-08-11,31
2017-08-12,23
2017-08-13,0
2017-08-14,20
2017-08-15,0
2017-08-16,0
2017-08-17,0
2017-08-18,10
2017-08-19,0
2017-08-20,0
2017-08-21,19
2017-08-22,10
2017-08-23,20
2017-08-24,0
2017-08-25,10
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,10
2017-08-30,29
2017-08-31,20
2017-09-01,21
2017-09-02,0
2017-09-03,0
2017-09-04,10
2017-09-05,0
2017-09-06,19
2017-09-07,0
2017-09-08,10
2017-09-09,0
2017-09-10,0
2017-09-11,10
2017-09-12,0
2017-09-13,0
2017-09-14,10
2017-09-15,10
2017-09-16,0
2017-09-17,0
2017-09-18,10
2017-09-19,29
2017-09-20,19
2017-09-21,10
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,10
2017-09-26,10
2017-09-27,10
2017-09-28,10
2017-09-29,31
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,10
2017-10-04,10
2017-10-05,0
2017-10-06,10
