date,GOOG stock
2015-12-26,5
2015-12-27,6
2015-12-28,7
2015-12-29,12
2015-12-30,15
2015-12-31,17
2016-01-01,6
2016-01-02,5
2016-01-03,5
2016-01-04,22
2016-01-05,23
2016-01-06,20
2016-01-07,29
2016-01-08,30
2016-01-09,7
2016-01-10,8
2016-01-11,20
2016-01-12,23
2016-01-13,9
2016-01-14,24
2016-01-15,24
2016-01-16,11
2016-01-17,3
2016-01-18,2
2016-01-19,19
2016-01-20,28
2016-01-21,21
2016-01-22,13
2016-01-23,11
2016-01-24,5
2016-01-25,13
2016-01-26,21
2016-01-27,22
2016-01-28,45
2016-01-29,25
2016-01-30,13
2016-01-31,9
2016-02-01,68
2016-02-02,100
2016-02-03,54
2016-02-04,38
2016-02-05,58
2016-02-06,17
2016-02-07,8
2016-02-08,26
2016-02-09,29
2016-02-10,24
2016-02-11,29
2016-02-12,32
2016-02-13,9
2016-02-14,2
2016-02-15,7
2016-02-16,22
2016-02-17,18
2016-02-18,27
2016-02-19,16
2016-02-20,5
2016-02-21,6
2016-02-22,28
2016-02-23,24
2016-02-24,23
2016-02-25,22
2016-02-26,16
2016-02-27,6
2016-02-28,0
2016-02-29,17
2016-03-01,11
2016-03-02,13
2016-03-03,19
2016-03-04,27
2016-03-05,7
2016-03-06,4
2016-03-07,11
2016-03-08,18
2016-03-09,19
2016-03-10,14
2016-03-11,17
2016-03-12,7
2016-03-13,1
2016-03-14,14
2016-03-15,23
2016-03-16,14
2016-03-17,19
2016-03-18,22
2016-03-19,3
2016-03-20,5
2016-03-21,19
2016-03-22,23
2016-03-23,10
2016-03-24,12
2016-03-25,6
2016-03-26,5
2016-03-27,1
2016-03-28,9
2016-03-29,10
2016-03-30,24
2016-03-31,15
2016-04-01,14
2016-04-02,14
2016-04-03,3
2016-04-04,17
2016-04-05,15
2016-04-06,14
2016-04-07,16
2016-04-08,16
2016-04-09,6
2016-04-10,0
2016-04-11,19
2016-04-12,11
2016-04-13,22
2016-04-14,16
2016-04-15,13
2016-04-16,2
2016-04-17,6
2016-04-18,18
2016-04-19,22
2016-04-20,18
2016-04-21,50
2016-04-22,66
2016-04-23,12
2016-04-24,13
2016-04-25,36
2016-04-26,24
2016-04-27,30
2016-04-28,40
2016-04-29,36
2016-04-30,13
2016-05-01,6
2016-05-02,24
2016-05-03,26
2016-05-04,26
2016-05-05,24
2016-05-06,18
2016-05-07,10
2016-05-08,2
2016-05-09,22
2016-05-10,36
2016-05-11,16
2016-05-12,18
2016-05-13,32
2016-05-14,3
2016-05-15,6
2016-05-16,22
2016-05-17,20
2016-05-18,22
2016-05-19,22
2016-05-20,23
2016-05-21,6
2016-05-22,3
2016-05-23,18
2016-05-24,21
2016-05-25,19
2016-05-26,17
2016-05-27,18
2016-05-28,11
2016-05-29,3
2016-05-30,4
2016-05-31,15
2016-06-01,14
2016-06-02,15
2016-06-03,14
2016-06-04,5
2016-06-05,3
2016-06-06,19
2016-06-07,23
2016-06-08,21
2016-06-09,18
2016-06-10,19
2016-06-11,6
2016-06-12,3
2016-06-13,17
2016-06-14,11
2016-06-15,13
2016-06-16,14
2016-06-17,28
2016-06-18,6
2016-06-19,3
2016-06-20,21
2016-06-21,16
2016-06-22,17
2016-06-23,17
2016-06-24,66
2016-06-25,10
2016-06-26,4
2016-06-27,24
2016-06-28,34
2016-06-29,19
2016-06-30,23
2016-07-01,20
2016-07-02,5
2016-07-03,4
2016-07-04,4
2016-07-05,9
2016-07-06,16
2016-07-07,16
2016-07-08,23
2016-07-09,6
2016-07-10,12
2016-07-11,22
2016-07-12,25
2016-07-13,17
2016-07-14,20
2016-07-15,25
2016-07-16,8
2016-07-17,3
2016-07-18,15
2016-07-19,29
2016-07-20,22
2016-07-21,22
2016-07-22,20
2016-07-23,7
2016-07-24,8
2016-07-25,18
2016-07-26,18
2016-07-27,40
2016-07-28,89
2016-07-29,66
2016-07-30,12
2016-07-31,8
2016-08-01,43
2016-08-02,27
2016-08-03,31
2016-08-04,19
2016-08-05,21
2016-08-06,7
2016-08-07,2
2016-08-08,24
2016-08-09,19
2016-08-10,19
2016-08-11,18
2016-08-12,18
2016-08-13,12
2016-08-14,5
2016-08-15,14
2016-08-16,13
2016-08-17,13
2016-08-18,18
2016-08-19,13
2016-08-20,2
2016-08-21,1
2016-08-22,13
2016-08-23,12
2016-08-24,13
2016-08-25,9
2016-08-26,15
2016-08-27,4
2016-08-28,9
2016-08-29,15
2016-08-30,13
2016-08-31,17
2016-09-01,11
2016-09-02,9
2016-09-03,1
2016-09-04,3
2016-09-05,9
2016-09-06,12
2016-09-07,10
2016-09-08,14
2016-09-09,15
2016-09-10,8
2016-09-11,3
