date,GOOG stock
2015-04-10,13
2015-04-11,2
2015-04-12,1
2015-04-13,11
2015-04-14,11
2015-04-15,15
2015-04-16,12
2015-04-17,15
2015-04-18,6
2015-04-19,2
2015-04-20,16
2015-04-21,13
2015-04-22,14
2015-04-23,31
2015-04-24,47
2015-04-25,9
2015-04-26,3
2015-04-27,18
2015-04-28,13
2015-04-29,16
2015-04-30,16
2015-05-01,13
2015-05-02,3
2015-05-03,6
2015-05-04,11
2015-05-05,15
2015-05-06,7
2015-05-07,12
2015-05-08,11
2015-05-09,6
2015-05-10,6
2015-05-11,13
2015-05-12,10
2015-05-13,12
2015-05-14,9
2015-05-15,14
2015-05-16,5
2015-05-17,6
2015-05-18,7
2015-05-19,8
2015-05-20,14
2015-05-21,9
2015-05-22,14
2015-05-23,3
2015-05-24,4
2015-05-25,3
2015-05-26,8
2015-05-27,9
2015-05-28,11
2015-05-29,7
2015-05-30,3
2015-05-31,2
2015-06-01,11
2015-06-02,8
2015-06-03,9
2015-06-04,15
2015-06-05,8
2015-06-06,4
2015-06-07,2
2015-06-08,7
2015-06-09,8
2015-06-10,7
2015-06-11,13
2015-06-12,7
2015-06-13,5
2015-06-14,6
2015-06-15,11
2015-06-16,10
2015-06-17,11
2015-06-18,7
2015-06-19,5
2015-06-20,5
2015-06-21,5
2015-06-22,9
2015-06-23,9
2015-06-24,14
2015-06-25,10
2015-06-26,7
2015-06-27,5
2015-06-28,3
2015-06-29,13
2015-06-30,8
2015-07-01,8
2015-07-02,6
2015-07-03,2
2015-07-04,4
2015-07-05,0
2015-07-06,13
2015-07-07,8
2015-07-08,8
2015-07-09,8
2015-07-10,8
2015-07-11,7
2015-07-12,6
2015-07-13,9
2015-07-14,13
2015-07-15,16
2015-07-16,34
2015-07-17,100
2015-07-18,35
2015-07-19,15
2015-07-20,59
2015-07-21,23
2015-07-22,30
2015-07-23,30
2015-07-24,29
2015-07-25,14
2015-07-26,7
2015-07-27,22
2015-07-28,12
2015-07-29,10
2015-07-30,22
2015-07-31,19
2015-08-01,8
2015-08-02,1
2015-08-03,13
2015-08-04,15
2015-08-05,12
2015-08-06,8
2015-08-07,9
2015-08-08,8
2015-08-09,6
2015-08-10,29
2015-08-11,60
2015-08-12,29
2015-08-13,22
2015-08-14,19
2015-08-15,13
2015-08-16,8
2015-08-17,7
2015-08-18,14
2015-08-19,22
2015-08-20,14
2015-08-21,27
2015-08-22,7
2015-08-23,8
2015-08-24,56
2015-08-25,42
2015-08-26,33
2015-08-27,33
2015-08-28,18
2015-08-29,6
2015-08-30,4
2015-08-31,19
2015-09-01,22
2015-09-02,26
2015-09-03,20
2015-09-04,19
2015-09-05,8
2015-09-06,3
2015-09-07,0
2015-09-08,17
2015-09-09,14
2015-09-10,7
2015-09-11,13
2015-09-12,7
2015-09-13,12
2015-09-14,11
2015-09-15,15
2015-09-16,8
2015-09-17,11
2015-09-18,16
2015-09-19,8
2015-09-20,5
2015-09-21,14
2015-09-22,11
2015-09-23,9
2015-09-24,14
2015-09-25,7
2015-09-26,3
2015-09-27,3
2015-09-28,11
2015-09-29,13
2015-09-30,11
2015-10-01,17
2015-10-02,13
2015-10-03,10
2015-10-04,13
2015-10-05,19
2015-10-06,23
2015-10-07,27
2015-10-08,15
2015-10-09,11
2015-10-10,9
2015-10-11,1
2015-10-12,15
2015-10-13,13
2015-10-14,17
2015-10-15,14
2015-10-16,15
2015-10-17,9
2015-10-18,6
2015-10-19,10
2015-10-20,12
2015-10-21,19
2015-10-22,31
2015-10-23,54
2015-10-24,11
2015-10-25,9
2015-10-26,32
2015-10-27,13
2015-10-28,24
2015-10-29,20
2015-10-30,22
2015-10-31,5
2015-11-01,8
2015-11-02,17
2015-11-03,17
2015-11-04,20
2015-11-05,17
2015-11-06,29
2015-11-07,6
2015-11-08,5
2015-11-09,11
2015-11-10,18
2015-11-11,19
2015-11-12,13
2015-11-13,21
2015-11-14,3
2015-11-15,4
2015-11-16,12
2015-11-17,15
2015-11-18,12
2015-11-19,20
2015-11-20,15
2015-11-21,7
2015-11-22,2
2015-11-23,7
2015-11-24,13
2015-11-25,14
2015-11-26,5
2015-11-27,7
2015-11-28,3
2015-11-29,6
2015-11-30,12
2015-12-01,16
2015-12-02,13
2015-12-03,16
2015-12-04,21
2015-12-05,5
2015-12-06,5
2015-12-07,11
2015-12-08,15
2015-12-09,12
2015-12-10,12
2015-12-11,14
2015-12-12,6
2015-12-13,5
2015-12-14,9
2015-12-15,11
2015-12-16,16
2015-12-17,20
2015-12-18,12
2015-12-19,10
2015-12-20,6
2015-12-21,11
2015-12-22,12
2015-12-23,11
2015-12-24,7
2015-12-25,11
2015-12-26,5
