date,GOOG stock
2016-09-11,1
2016-09-12,13
2016-09-13,13
2016-09-14,14
2016-09-15,14
2016-09-16,16
2016-09-17,5
2016-09-18,3
2016-09-19,11
2016-09-20,10
2016-09-21,8
2016-09-22,12
2016-09-23,15
2016-09-24,4
2016-09-25,3
2016-09-26,12
2016-09-27,13
2016-09-28,24
2016-09-29,17
2016-09-30,7
2016-10-01,4
2016-10-02,6
2016-10-03,14
2016-10-04,19
2016-10-05,16
2016-10-06,15
2016-10-07,14
2016-10-08,7
2016-10-09,2
2016-10-10,12
2016-10-11,26
2016-10-12,13
2016-10-13,16
2016-10-14,14
2016-10-15,6
2016-10-16,8
2016-10-17,10
2016-10-18,28
2016-10-19,20
2016-10-20,20
2016-10-21,13
2016-10-22,5
2016-10-23,5
2016-10-24,23
2016-10-25,25
2016-10-26,19
2016-10-27,59
2016-10-28,51
2016-10-29,17
2016-10-30,6
2016-10-31,31
2016-11-01,22
2016-11-02,30
2016-11-03,29
2016-11-04,28
2016-11-05,9
2016-11-06,9
2016-11-07,19
2016-11-08,17
2016-11-09,70
2016-11-10,41
2016-11-11,33
2016-11-12,14
2016-11-13,5
2016-11-14,32
2016-11-15,32
2016-11-16,27
2016-11-17,30
2016-11-18,30
2016-11-19,5
2016-11-20,5
2016-11-21,24
2016-11-22,24
2016-11-23,18
2016-11-24,9
2016-11-25,9
2016-11-26,7
2016-11-27,6
2016-11-28,27
2016-11-29,22
2016-11-30,22
2016-12-01,21
2016-12-02,23
2016-12-03,7
2016-12-04,5
2016-12-05,26
2016-12-06,23
2016-12-07,16
2016-12-08,21
2016-12-09,22
2016-12-10,8
2016-12-11,5
2016-12-12,18
2016-12-13,22
2016-12-14,24
2016-12-15,21
2016-12-16,24
2016-12-17,6
2016-12-18,11
2016-12-19,12
2016-12-20,15
2016-12-21,16
2016-12-22,15
2016-12-23,18
2016-12-24,11
2016-12-25,3
2016-12-26,7
2016-12-27,20
2016-12-28,13
2016-12-29,16
2016-12-30,12
2016-12-31,5
2017-01-01,6
2017-01-02,6
2017-01-03,15
2017-01-04,22
2017-01-05,20
2017-01-06,22
2017-01-07,11
2017-01-08,8
2017-01-09,20
2017-01-10,24
2017-01-11,22
2017-01-12,21
2017-01-13,26
2017-01-14,10
2017-01-15,3
2017-01-16,6
2017-01-17,19
2017-01-18,17
2017-01-19,20
2017-01-20,16
2017-01-21,8
2017-01-22,9
2017-01-23,26
2017-01-24,21
2017-01-25,35
2017-01-26,74
2017-01-27,53
2017-01-28,16
2017-01-29,11
2017-01-30,36
2017-01-31,30
2017-02-01,41
2017-02-02,36
2017-02-03,29
2017-02-04,10
2017-02-05,5
2017-02-06,19
2017-02-07,23
2017-02-08,20
2017-02-09,24
2017-02-10,24
2017-02-11,7
2017-02-12,5
2017-02-13,21
2017-02-14,21
2017-02-15,27
2017-02-16,21
2017-02-17,24
2017-02-18,11
2017-02-19,4
2017-02-20,11
2017-02-21,24
2017-02-22,25
2017-02-23,21
2017-02-24,24
2017-02-25,8
2017-02-26,4
2017-02-27,22
2017-02-28,28
2017-03-01,21
2017-03-02,26
2017-03-03,25
2017-03-04,13
2017-03-05,4
2017-03-06,7
2017-03-07,19
2017-03-08,25
2017-03-09,16
2017-03-10,16
2017-03-11,7
2017-03-12,5
2017-03-13,20
2017-03-14,14
2017-03-15,15
2017-03-16,23
2017-03-17,16
2017-03-18,8
2017-03-19,4
2017-03-20,14
2017-03-21,27
2017-03-22,24
2017-03-23,30
2017-03-24,28
2017-03-25,10
2017-03-26,12
2017-03-27,27
2017-03-28,28
2017-03-29,30
2017-03-30,23
2017-03-31,27
2017-04-01,6
2017-04-02,4
2017-04-03,25
2017-04-04,28
2017-04-05,16
2017-04-06,22
2017-04-07,19
2017-04-08,6
2017-04-09,5
2017-04-10,12
2017-04-11,33
2017-04-12,21
2017-04-13,19
2017-04-14,8
2017-04-15,6
2017-04-16,3
2017-04-17,25
2017-04-18,24
2017-04-19,22
2017-04-20,25
2017-04-21,18
2017-04-22,5
2017-04-23,11
2017-04-24,22
2017-04-25,42
2017-04-26,25
2017-04-27,68
2017-04-28,100
2017-04-29,24
2017-04-30,10
2017-05-01,43
2017-05-02,30
2017-05-03,35
2017-05-04,33
2017-05-05,28
2017-05-06,8
2017-05-07,13
2017-05-08,29
2017-05-09,33
2017-05-10,25
2017-05-11,16
2017-05-12,25
2017-05-13,9
2017-05-14,15
2017-05-15,28
2017-05-16,29
2017-05-17,39
2017-05-18,38
2017-05-19,31
2017-05-20,9
2017-05-21,3
2017-05-22,21
2017-05-23,29
2017-05-24,36
2017-05-25,54
2017-05-26,35
2017-05-27,16
2017-05-28,16
2017-05-29,12
