date,GOOG stock
2011-05-11,17
2011-05-12,9
2011-05-13,41
2011-05-14,5
2011-05-15,5
2011-05-16,13
2011-05-17,17
2011-05-18,4
2011-05-19,44
2011-05-20,18
2011-05-21,6
2011-05-22,0
2011-05-23,21
2011-05-24,17
2011-05-25,22
2011-05-26,13
2011-05-27,5
2011-05-28,0
2011-05-29,11
2011-05-30,9
2011-05-31,4
2011-06-01,18
2011-06-02,18
2011-06-03,19
2011-06-04,0
2011-06-05,0
2011-06-06,13
2011-06-07,9
2011-06-08,4
2011-06-09,18
2011-06-10,28
2011-06-11,6
2011-06-12,0
2011-06-13,0
2011-06-14,21
2011-06-15,9
2011-06-16,17
2011-06-17,14
2011-06-18,17
2011-06-19,0
2011-06-20,17
2011-06-21,17
2011-06-22,30
2011-06-23,27
2011-06-24,23
2011-06-25,6
2011-06-26,0
2011-06-27,17
2011-06-28,17
2011-06-29,18
2011-06-30,22
2011-07-01,19
2011-07-02,0
2011-07-03,6
2011-07-04,5
2011-07-05,4
2011-07-06,39
2011-07-07,22
2011-07-08,32
2011-07-09,12
2011-07-10,12
2011-07-11,18
2011-07-12,35
2011-07-13,22
2011-07-14,45
2011-07-15,100
2011-07-16,29
2011-07-17,0
2011-07-18,30
2011-07-19,52
2011-07-20,27
2011-07-21,18
2011-07-22,46
2011-07-23,11
2011-07-24,28
2011-07-25,26
2011-07-26,35
2011-07-27,35
2011-07-28,22
2011-07-29,23
2011-07-30,22
2011-07-31,11
2011-08-01,18
2011-08-02,26
2011-08-03,26
2011-08-04,22
2011-08-05,69
2011-08-06,0
2011-08-07,5
2011-08-08,55
2011-08-09,59
2011-08-10,35
2011-08-11,39
2011-08-12,14
2011-08-13,17
2011-08-14,11
2011-08-15,86
2011-08-16,44
2011-08-17,22
2011-08-18,22
2011-08-19,36
2011-08-20,5
2011-08-21,0
2011-08-22,38
2011-08-23,21
2011-08-24,30
2011-08-25,50
2011-08-26,18
2011-08-27,5
2011-08-28,10
2011-08-29,25
2011-08-30,17
2011-08-31,33
2011-09-01,13
2011-09-02,17
2011-09-03,15
2011-09-04,0
2011-09-05,12
2011-09-06,16
2011-09-07,25
2011-09-08,24
2011-09-09,30
2011-09-10,10
2011-09-11,5
2011-09-12,20
2011-09-13,8
2011-09-14,16
2011-09-15,24
2011-09-16,22
2011-09-17,5
2011-09-18,15
2011-09-19,12
2011-09-20,12
2011-09-21,28
2011-09-22,12
2011-09-23,8
2011-09-24,10
2011-09-25,29
2011-09-26,24
2011-09-27,31
2011-09-28,12
2011-09-29,8
2011-09-30,13
2011-10-01,15
2011-10-02,0
2011-10-03,16
2011-10-04,19
2011-10-05,31
2011-10-06,36
2011-10-07,16
2011-10-08,10
2011-10-09,9
2011-10-10,39
2011-10-11,26
2011-10-12,15
2011-10-13,63
2011-10-14,74
2011-10-15,10
2011-10-16,9
2011-10-17,23
2011-10-18,15
2011-10-19,27
2011-10-20,12
2011-10-21,33
2011-10-22,5
2011-10-23,5
2011-10-24,19
2011-10-25,34
2011-10-26,19
2011-10-27,35
2011-10-28,21
2011-10-29,0
2011-10-30,5
2011-10-31,4
2011-11-01,16
2011-11-02,43
2011-11-03,12
2011-11-04,16
2011-11-05,9
2011-11-06,14
2011-11-07,15
2011-11-08,31
2011-11-09,19
2011-11-10,39
2011-11-11,20
2011-11-12,0
2011-11-13,0
2011-11-14,30
2011-11-15,38
2011-11-16,27
2011-11-17,19
2011-11-18,12
2011-11-19,5
2011-11-20,5
2011-11-21,22
2011-11-22,23
2011-11-23,15
2011-11-24,4
2011-11-25,13
2011-11-26,9
2011-11-27,5
2011-11-28,26
2011-11-29,30
2011-11-30,30
2011-12-01,15
2011-12-02,28
2011-12-03,9
2011-12-04,9
2011-12-05,30
2011-12-06,11
2011-12-07,11
2011-12-08,23
2011-12-09,16
2011-12-10,5
2011-12-11,4
2011-12-12,26
2011-12-13,7
2011-12-14,23
2011-12-15,19
2011-12-16,20
2011-12-17,14
2011-12-18,9
2011-12-19,8
2011-12-20,4
2011-12-21,24
2011-12-22,12
2011-12-23,30
2011-12-24,0
2011-12-25,0
2011-12-26,4
2011-12-27,12
2011-12-28,28
2011-12-29,8
2011-12-30,26
2011-12-31,0
2012-01-01,5
2012-01-02,12
2012-01-03,23
2012-01-04,8
2012-01-05,11
2012-01-06,20
2012-01-07,4
2012-01-08,4
2012-01-09,22
2012-01-10,29
2012-01-11,29
2012-01-12,11
2012-01-13,26
2012-01-14,13
2012-01-15,0
2012-01-16,11
2012-01-17,17
2012-01-18,21
2012-01-19,29
2012-01-20,68
2012-01-21,21
2012-01-22,9
2012-01-23,28
2012-01-24,25
2012-01-25,25
2012-01-26,22
