date,GOOG stock
2011-01-01,31
2011-01-02,0
2011-01-03,5
2011-01-04,16
2011-01-05,53
2011-01-06,5
2011-01-07,38
2011-01-08,26
2011-01-09,6
2011-01-10,20
2011-01-11,25
2011-01-12,30
2011-01-13,30
2011-01-14,5
2011-01-15,0
2011-01-16,6
2011-01-17,20
2011-01-18,39
2011-01-19,25
2011-01-20,30
2011-01-21,61
2011-01-22,18
2011-01-23,18
2011-01-24,10
2011-01-25,29
2011-01-26,30
2011-01-27,10
2011-01-28,16
2011-01-29,24
2011-01-30,0
2011-01-31,33
2011-02-01,28
2011-02-02,23
2011-02-03,15
2011-02-04,10
2011-02-05,12
2011-02-06,6
2011-02-07,24
2011-02-08,14
2011-02-09,29
2011-02-10,20
2011-02-11,31
2011-02-12,24
2011-02-13,12
2011-02-14,29
2011-02-15,28
2011-02-16,29
2011-02-17,20
2011-02-18,25
2011-02-19,6
2011-02-20,0
2011-02-21,19
2011-02-22,29
2011-02-23,19
2011-02-24,39
2011-02-25,20
2011-02-26,6
2011-02-27,6
2011-02-28,24
2011-03-01,14
2011-03-02,0
2011-03-03,39
2011-03-04,40
2011-03-05,24
2011-03-06,12
2011-03-07,10
2011-03-08,24
2011-03-09,0
2011-03-10,14
2011-03-11,39
2011-03-12,12
2011-03-13,6
2011-03-14,10
2011-03-15,10
2011-03-16,9
2011-03-17,5
2011-03-18,25
2011-03-19,24
2011-03-20,0
2011-03-21,5
2011-03-22,14
2011-03-23,0
2011-03-24,10
2011-03-25,0
2011-03-26,6
2011-03-27,12
2011-03-28,19
2011-03-29,14
2011-03-30,24
2011-03-31,29
2011-04-01,10
2011-04-02,6
2011-04-03,6
2011-04-04,14
2011-04-05,33
2011-04-06,10
2011-04-07,19
2011-04-08,5
2011-04-09,18
2011-04-10,0
2011-04-11,24
2011-04-12,24
2011-04-13,24
2011-04-14,44
2011-04-15,66
2011-04-16,25
2011-04-17,12
2011-04-18,34
2011-04-19,34
2011-04-20,30
2011-04-21,26
2011-04-22,23
2011-04-23,0
2011-04-24,20
2011-04-25,37
2011-04-26,28
2011-04-27,19
2011-04-28,19
2011-04-29,15
2011-04-30,0
2011-05-01,12
2011-05-02,19
2011-05-03,14
2011-05-04,14
2011-05-05,10
2011-05-06,30
2011-05-07,6
2011-05-08,0
2011-05-09,33
2011-05-10,9
2011-05-11,24
2011-05-12,14
2011-05-13,25
2011-05-14,6
2011-05-15,6
2011-05-16,27
2011-05-17,5
2011-05-18,14
2011-05-19,19
2011-05-20,15
2011-05-21,6
2011-05-22,6
2011-05-23,14
2011-05-24,42
2011-05-25,9
2011-05-26,29
2011-05-27,25
2011-05-28,12
2011-05-29,0
2011-05-30,0
2011-05-31,23
2011-06-01,14
2011-06-02,5
2011-06-03,10
2011-06-04,18
2011-06-05,0
2011-06-06,33
2011-06-07,9
2011-06-08,14
2011-06-09,14
2011-06-10,15
2011-06-11,0
2011-06-12,0
2011-06-13,19
2011-06-14,9
2011-06-15,0
2011-06-16,14
2011-06-17,20
2011-06-18,18
2011-06-19,0
2011-06-20,23
2011-06-21,23
2011-06-22,9
2011-06-23,20
2011-06-24,31
2011-06-25,12
2011-06-26,0
2011-06-27,5
2011-06-28,28
2011-06-29,14
2011-06-30,29
2011-07-01,35
2011-07-02,19
2011-07-03,0
2011-07-04,5
2011-07-05,24
2011-07-06,33
2011-07-07,34
2011-07-08,25
2011-07-09,6
2011-07-10,0
2011-07-11,5
2011-07-12,24
2011-07-13,10
2011-07-14,59
2011-07-15,56
2011-07-16,12
2011-07-17,0
2011-07-18,42
2011-07-19,28
2011-07-20,43
2011-07-21,19
2011-07-22,25
2011-07-23,18
2011-07-24,18
2011-07-25,33
2011-07-26,23
2011-07-27,33
2011-07-28,34
2011-07-29,30
2011-07-30,30
2011-07-31,12
2011-08-01,33
2011-08-02,10
2011-08-03,24
2011-08-04,57
2011-08-05,40
2011-08-06,12
2011-08-07,23
2011-08-08,100
2011-08-09,68
2011-08-10,61
2011-08-11,28
2011-08-12,10
2011-08-13,24
2011-08-14,0
2011-08-15,68
2011-08-16,56
2011-08-17,48
2011-08-18,51
2011-08-19,24
2011-08-20,29
2011-08-21,12
2011-08-22,32
2011-08-23,40
2011-08-24,41
2011-08-25,27
2011-08-26,19
2011-08-27,0
2011-08-28,0
2011-08-29,18
2011-08-30,18
2011-08-31,27
2011-09-01,9
2011-09-02,9
2011-09-03,17
2011-09-04,16
2011-09-05,14
2011-09-06,31
2011-09-07,27
2011-09-08,39
2011-09-09,23
2011-09-10,0
2011-09-11,5
2011-09-12,35
2011-09-13,22
2011-09-14,22
2011-09-15,31
2011-09-16,5
2011-09-17,5
2011-09-18,10
