date,GOOG stock
2011-09-18,13
2011-09-19,32
2011-09-20,43
2011-09-21,27
2011-09-22,16
2011-09-23,40
2011-09-24,14
2011-09-25,13
2011-09-26,21
2011-09-27,16
2011-09-28,27
2011-09-29,5
2011-09-30,6
2011-10-01,34
2011-10-02,13
2011-10-03,33
2011-10-04,32
2011-10-05,32
2011-10-06,49
2011-10-07,11
2011-10-08,13
2011-10-09,0
2011-10-10,21
2011-10-11,45
2011-10-12,31
2011-10-13,65
2011-10-14,56
2011-10-15,13
2011-10-16,6
2011-10-17,37
2011-10-18,58
2011-10-19,42
2011-10-20,43
2011-10-21,39
2011-10-22,7
2011-10-23,19
2011-10-24,31
2011-10-25,57
2011-10-26,48
2011-10-27,58
2011-10-28,28
2011-10-29,7
2011-10-30,6
2011-10-31,27
2011-11-01,54
2011-11-02,42
2011-11-03,37
2011-11-04,16
2011-11-05,19
2011-11-06,6
2011-11-07,16
2011-11-08,21
2011-11-09,37
2011-11-10,16
2011-11-11,17
2011-11-12,0
2011-11-13,6
2011-11-14,26
2011-11-15,20
2011-11-16,26
2011-11-17,26
2011-11-18,38
2011-11-19,13
2011-11-20,31
2011-11-21,26
2011-11-22,25
2011-11-23,21
2011-11-24,17
2011-11-25,11
2011-11-26,6
2011-11-27,0
2011-11-28,25
2011-11-29,35
2011-11-30,30
2011-12-01,36
2011-12-02,27
2011-12-03,0
2011-12-04,12
2011-12-05,30
2011-12-06,30
2011-12-07,21
2011-12-08,31
2011-12-09,38
2011-12-10,12
2011-12-11,6
2011-12-12,10
2011-12-13,25
2011-12-14,0
2011-12-15,16
2011-12-16,38
2011-12-17,19
2011-12-18,0
2011-12-19,16
2011-12-20,16
2011-12-21,5
2011-12-22,17
2011-12-23,47
2011-12-24,7
2011-12-25,7
2011-12-26,6
2011-12-27,22
2011-12-28,38
2011-12-29,22
2011-12-30,17
2011-12-31,0
2012-01-01,0
2012-01-02,11
2012-01-03,41
2012-01-04,30
2012-01-05,21
2012-01-06,42
2012-01-07,6
2012-01-08,6
2012-01-09,15
2012-01-10,34
2012-01-11,19
2012-01-12,10
2012-01-13,20
2012-01-14,12
2012-01-15,12
2012-01-16,24
2012-01-17,34
2012-01-18,19
2012-01-19,58
2012-01-20,70
2012-01-21,12
2012-01-22,6
2012-01-23,49
2012-01-24,29
2012-01-25,29
2012-01-26,39
2012-01-27,35
2012-01-28,12
2012-01-29,6
2012-01-30,38
2012-01-31,52
2012-02-01,19
2012-02-02,43
2012-02-03,40
2012-02-04,11
2012-02-05,17
2012-02-06,28
2012-02-07,38
2012-02-08,28
2012-02-09,34
2012-02-10,35
2012-02-11,17
2012-02-12,0
2012-02-13,33
2012-02-14,33
2012-02-15,67
2012-02-16,49
2012-02-17,25
2012-02-18,0
2012-02-19,0
2012-02-20,5
2012-02-21,39
2012-02-22,28
2012-02-23,24
2012-02-24,49
2012-02-25,17
2012-02-26,6
2012-02-27,19
2012-02-28,28
2012-02-29,43
2012-03-01,34
2012-03-02,21
2012-03-03,12
2012-03-04,0
2012-03-05,19
2012-03-06,38
2012-03-07,14
2012-03-08,19
2012-03-09,30
2012-03-10,0
2012-03-11,11
2012-03-12,28
2012-03-13,24
2012-03-14,38
2012-03-15,43
2012-03-16,15
2012-03-17,0
2012-03-18,23
2012-03-19,14
2012-03-20,28
2012-03-21,47
2012-03-22,29
2012-03-23,35
2012-03-24,12
2012-03-25,0
2012-03-26,28
2012-03-27,38
2012-03-28,38
2012-03-29,34
2012-03-30,35
2012-03-31,0
2012-04-01,0
2012-04-02,10
2012-04-03,19
2012-04-04,5
2012-04-05,51
2012-04-06,22
2012-04-07,12
2012-04-08,6
2012-04-09,6
2012-04-10,39
2012-04-11,14
2012-04-12,66
2012-04-13,100
2012-04-14,22
2012-04-15,6
2012-04-16,42
2012-04-17,47
2012-04-18,33
2012-04-19,38
2012-04-20,25
2012-04-21,23
2012-04-22,6
2012-04-23,14
2012-04-24,37
2012-04-25,37
2012-04-26,29
2012-04-27,30
2012-04-28,12
2012-04-29,6
2012-04-30,30
2012-05-01,21
2012-05-02,28
2012-05-03,28
2012-05-04,15
2012-05-05,6
2012-05-06,11
2012-05-07,28
2012-05-08,28
2012-05-09,5
2012-05-10,38
2012-05-11,34
2012-05-12,12
2012-05-13,6
2012-05-14,18
2012-05-15,27
2012-05-16,37
2012-05-17,38
2012-05-18,60
2012-05-19,35
2012-05-20,11
2012-05-21,46
2012-05-22,65
2012-05-23,56
2012-05-24,57
2012-05-25,35
2012-05-26,36
2012-05-27,6
2012-05-28,29
2012-05-29,27
2012-05-30,32
2012-05-31,14
2012-06-01,34
2012-06-02,23
2012-06-03,17
2012-06-04,27
