date,GOOG stock
2013-02-19,12
2013-02-20,9
2013-02-21,11
2013-02-22,9
2013-02-23,3
2013-02-24,2
2013-02-25,7
2013-02-26,7
2013-02-27,5
2013-02-28,7
2013-03-01,5
2013-03-02,4
2013-03-03,2
2013-03-04,9
2013-03-05,12
2013-03-06,11
2013-03-07,10
2013-03-08,14
2013-03-09,4
2013-03-10,1
2013-03-11,8
2013-03-12,7
2013-03-13,10
2013-03-14,6
2013-03-15,7
2013-03-16,3
2013-03-17,2
2013-03-18,6
2013-03-19,6
2013-03-20,6
2013-03-21,5
2013-03-22,10
2013-03-23,2
2013-03-24,1
2013-03-25,4
2013-03-26,7
2013-03-27,8
2013-03-28,8
2013-03-29,4
2013-03-30,3
2013-03-31,2
2013-04-01,6
2013-04-02,8
2013-04-03,8
2013-04-04,14
2013-04-05,12
2013-04-06,7
2013-04-07,5
2013-04-08,12
2013-04-09,13
2013-04-10,15
2013-04-11,13
2013-04-12,11
2013-04-13,3
2013-04-14,5
2013-04-15,13
2013-04-16,10
2013-04-17,15
2013-04-18,24
2013-04-19,22
2013-04-20,10
2013-04-21,10
2013-04-22,13
2013-04-23,13
2013-04-24,15
2013-04-25,13
2013-04-26,12
2013-04-27,5
2013-04-28,5
2013-04-29,16
2013-04-30,13
2013-05-01,13
2013-05-02,13
2013-05-03,15
2013-05-04,3
2013-05-05,3
2013-05-06,14
2013-05-07,14
2013-05-08,14
2013-05-09,12
2013-05-10,11
2013-05-11,5
2013-05-12,2
2013-05-13,10
2013-05-14,13
2013-05-15,32
2013-05-16,21
2013-05-17,15
2013-05-18,7
2013-05-19,3
2013-05-20,15
2013-05-21,11
2013-05-22,21
2013-05-23,20
2013-05-24,20
2013-05-25,7
2013-05-26,6
2013-05-27,7
2013-05-28,20
2013-05-29,16
2013-05-30,15
2013-05-31,14
2013-06-01,7
2013-06-02,5
2013-06-03,10
2013-06-04,12
2013-06-05,10
2013-06-06,14
2013-06-07,11
2013-06-08,15
2013-06-09,5
2013-06-10,12
2013-06-11,13
2013-06-12,12
2013-06-13,16
2013-06-14,9
2013-06-15,5
2013-06-16,5
2013-06-17,10
2013-06-18,13
2013-06-19,22
2013-06-20,20
2013-06-21,11
2013-06-22,9
2013-06-23,7
2013-06-24,9
2013-06-25,15
2013-06-26,13
2013-06-27,9
2013-06-28,14
2013-06-29,7
2013-06-30,3
2013-07-01,15
2013-07-02,11
2013-07-03,10
2013-07-04,6
2013-07-05,9
2013-07-06,6
2013-07-07,6
2013-07-08,12
2013-07-09,16
2013-07-10,12
2013-07-11,17
2013-07-12,17
2013-07-13,12
2013-07-14,5
2013-07-15,11
2013-07-16,13
2013-07-17,13
2013-07-18,25
2013-07-19,40
2013-07-20,8
2013-07-21,7
2013-07-22,15
2013-07-23,16
2013-07-24,13
2013-07-25,21
2013-07-26,15
2013-07-27,9
2013-07-28,7
2013-07-29,14
2013-07-30,14
2013-07-31,11
2013-08-01,14
2013-08-02,12
2013-08-03,6
2013-08-04,6
2013-08-05,9
2013-08-06,10
2013-08-07,12
2013-08-08,15
2013-08-09,12
2013-08-10,5
2013-08-11,7
2013-08-12,11
2013-08-13,11
2013-08-14,14
2013-08-15,18
2013-08-16,11
2013-08-17,9
2013-08-18,8
2013-08-19,13
2013-08-20,18
2013-08-21,12
2013-08-22,12
2013-08-23,13
2013-08-24,7
2013-08-25,4
2013-08-26,14
2013-08-27,10
2013-08-28,7
2013-08-29,8
2013-08-30,10
2013-08-31,6
2013-09-01,6
2013-09-02,5
2013-09-03,10
2013-09-04,14
2013-09-05,13
2013-09-06,10
2013-09-07,7
2013-09-08,4
2013-09-09,10
2013-09-10,12
2013-09-11,9
2013-09-12,16
2013-09-13,11
2013-09-14,8
2013-09-15,5
2013-09-16,12
2013-09-17,10
2013-09-18,10
2013-09-19,13
2013-09-20,12
2013-09-21,6
2013-09-22,4
2013-09-23,15
2013-09-24,11
2013-09-25,12
2013-09-26,11
2013-09-27,12
2013-09-28,3
2013-09-29,6
2013-09-30,9
2013-10-01,10
2013-10-02,11
2013-10-03,9
2013-10-04,11
2013-10-05,5
2013-10-06,3
2013-10-07,12
2013-10-08,10
2013-10-09,10
2013-10-10,13
2013-10-11,11
2013-10-12,7
2013-10-13,4
2013-10-14,10
2013-10-15,12
2013-10-16,8
2013-10-17,25
2013-10-18,100
2013-10-19,42
2013-10-20,19
2013-10-21,28
2013-10-22,27
2013-10-23,30
2013-10-24,26
2013-10-25,25
2013-10-26,11
2013-10-27,7
2013-10-28,16
2013-10-29,24
2013-10-30,23
2013-10-31,18
2013-11-01,18
2013-11-02,9
2013-11-03,10
2013-11-04,16
2013-11-05,13
2013-11-06,15
