date,ILMN stock
2017-01-19,19
2017-01-20,0
2017-01-21,11
2017-01-22,21
2017-01-23,0
2017-01-24,9
2017-01-25,18
2017-01-26,56
2017-01-27,20
2017-01-28,11
2017-01-29,0
2017-01-30,18
2017-01-31,28
2017-02-01,36
2017-02-02,9
2017-02-03,29
2017-02-04,21
2017-02-05,10
2017-02-06,27
2017-02-07,18
2017-02-08,19
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,10
2017-02-13,27
2017-02-14,46
2017-02-15,19
2017-02-16,0
2017-02-17,28
2017-02-18,32
2017-02-19,0
2017-02-20,9
2017-02-21,0
2017-02-22,18
2017-02-23,28
2017-02-24,19
2017-02-25,11
2017-02-26,0
2017-02-27,18
2017-02-28,46
2017-03-01,18
2017-03-02,35
2017-03-03,37
2017-03-04,10
2017-03-05,0
2017-03-06,9
2017-03-07,9
2017-03-08,9
2017-03-09,9
2017-03-10,19
2017-03-11,0
2017-03-12,10
2017-03-13,42
2017-03-14,27
2017-03-15,18
2017-03-16,46
2017-03-17,10
2017-03-18,0
2017-03-19,0
2017-03-20,0
2017-03-21,18
2017-03-22,18
2017-03-23,9
2017-03-24,10
2017-03-25,0
2017-03-26,0
2017-03-27,9
2017-03-28,9
2017-03-29,9
2017-03-30,9
2017-03-31,9
2017-04-01,0
2017-04-02,0
2017-04-03,36
2017-04-04,9
2017-04-05,37
2017-04-06,9
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,18
2017-04-11,28
2017-04-12,29
2017-04-13,20
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,10
2017-04-18,45
2017-04-19,9
2017-04-20,9
2017-04-21,10
2017-04-22,0
2017-04-23,0
2017-04-24,27
2017-04-25,63
2017-04-26,99
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,20
2017-05-02,18
2017-05-03,27
2017-05-04,18
2017-05-05,29
2017-05-06,22
2017-05-07,0
2017-05-08,0
2017-05-09,18
2017-05-10,18
2017-05-11,19
2017-05-12,19
2017-05-13,0
2017-05-14,0
2017-05-15,10
2017-05-16,20
2017-05-17,0
2017-05-18,29
2017-05-19,10
2017-05-20,0
2017-05-21,11
2017-05-22,20
2017-05-23,10
2017-05-24,10
2017-05-25,20
2017-05-26,21
2017-05-27,12
2017-05-28,12
2017-05-29,0
2017-05-30,39
2017-05-31,0
2017-06-01,40
2017-06-02,21
2017-06-03,23
2017-06-04,11
2017-06-05,10
2017-06-06,9
2017-06-07,9
2017-06-08,29
2017-06-09,0
2017-06-10,12
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,19
2017-06-15,0
2017-06-16,0
2017-06-17,24
2017-06-18,0
2017-06-19,19
2017-06-20,9
2017-06-21,19
2017-06-22,47
2017-06-23,39
2017-06-24,11
2017-06-25,0
2017-06-26,10
2017-06-27,20
2017-06-28,0
2017-06-29,10
2017-06-30,31
2017-07-01,0
2017-07-02,12
2017-07-03,20
2017-07-04,0
2017-07-05,0
2017-07-06,10
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,29
2017-07-11,0
2017-07-12,10
2017-07-13,20
2017-07-14,10
2017-07-15,0
2017-07-16,0
2017-07-17,10
2017-07-18,20
2017-07-19,0
2017-07-20,20
2017-07-21,0
2017-07-22,11
2017-07-23,0
2017-07-24,10
2017-07-25,19
2017-07-26,39
2017-07-27,29
2017-07-28,0
2017-07-29,12
2017-07-30,0
2017-07-31,19
2017-08-01,84
2017-08-02,100
2017-08-03,39
2017-08-04,30
2017-08-05,11
2017-08-06,11
2017-08-07,19
2017-08-08,28
2017-08-09,19
2017-08-10,19
2017-08-11,0
2017-08-12,11
2017-08-13,0
2017-08-14,49
2017-08-15,20
2017-08-16,38
2017-08-17,0
2017-08-18,10
2017-08-19,22
2017-08-20,0
2017-08-21,19
2017-08-22,19
2017-08-23,10
2017-08-24,10
2017-08-25,10
2017-08-26,22
2017-08-27,11
2017-08-28,0
2017-08-29,19
2017-08-30,19
2017-08-31,9
2017-09-01,10
2017-09-02,0
2017-09-03,0
2017-09-04,10
2017-09-05,9
2017-09-06,9
2017-09-07,0
2017-09-08,20
2017-09-09,22
2017-09-10,0
2017-09-11,19
2017-09-12,28
2017-09-13,0
2017-09-14,19
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,9
2017-09-19,46
2017-09-20,9
2017-09-21,19
2017-09-22,10
2017-09-23,0
2017-09-24,11
2017-09-25,28
2017-09-26,19
2017-09-27,0
2017-09-28,9
2017-09-29,29
2017-09-30,0
2017-10-01,0
2017-10-02,18
2017-10-03,0
2017-10-04,0
2017-10-05,9
2017-10-06,0
