date,ILMN stock
2013-11-06,21
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,21
2013-11-12,0
2013-11-13,21
2013-11-14,21
2013-11-15,0
2013-11-16,25
2013-11-17,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,21
2013-11-22,21
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,0
2013-11-27,21
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,23
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,22
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,21
2013-12-12,0
2013-12-13,22
2013-12-14,25
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,22
2013-12-20,0
2013-12-21,0
2013-12-22,26
2013-12-23,23
2013-12-24,0
2013-12-25,0
2013-12-26,24
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,76
2014-01-01,27
2014-01-02,0
2014-01-03,0
2014-01-04,24
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,41
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,60
2014-01-14,40
2014-01-15,20
2014-01-16,20
2014-01-17,42
2014-01-18,0
2014-01-19,23
2014-01-20,0
2014-01-21,80
2014-01-22,0
2014-01-23,60
2014-01-24,41
2014-01-25,0
2014-01-26,0
2014-01-27,40
2014-01-28,40
2014-01-29,100
2014-01-30,41
2014-01-31,21
2014-02-01,0
2014-02-02,0
2014-02-03,0
2014-02-04,0
2014-02-05,80
2014-02-06,0
2014-02-07,45
2014-02-08,23
2014-02-09,23
2014-02-10,20
2014-02-11,0
2014-02-12,20
2014-02-13,60
2014-02-14,0
2014-02-15,24
2014-02-16,0
2014-02-17,0
2014-02-18,59
2014-02-19,59
2014-02-20,40
2014-02-21,21
2014-02-22,46
2014-02-23,23
2014-02-24,78
2014-02-25,59
2014-02-26,20
2014-02-27,20
2014-02-28,21
2014-03-01,47
2014-03-02,0
2014-03-03,40
2014-03-04,40
2014-03-05,40
2014-03-06,40
2014-03-07,21
2014-03-08,23
2014-03-09,0
2014-03-10,20
2014-03-11,39
2014-03-12,0
2014-03-13,40
2014-03-14,63
2014-03-15,23
2014-03-16,0
2014-03-17,0
2014-03-18,39
2014-03-19,60
2014-03-20,20
2014-03-21,42
2014-03-22,0
2014-03-23,0
2014-03-24,0
2014-03-25,77
2014-03-26,20
2014-03-27,0
2014-03-28,21
2014-03-29,23
2014-03-30,0
2014-03-31,20
2014-04-01,59
2014-04-02,0
2014-04-03,0
2014-04-04,0
2014-04-05,24
2014-04-06,0
2014-04-07,20
2014-04-08,39
2014-04-09,20
2014-04-10,20
2014-04-11,0
2014-04-12,0
2014-04-13,0
2014-04-14,40
2014-04-15,20
2014-04-16,20
2014-04-17,0
2014-04-18,23
2014-04-19,0
2014-04-20,0
2014-04-21,22
2014-04-22,20
2014-04-23,60
2014-04-24,20
2014-04-25,42
2014-04-26,24
2014-04-27,0
2014-04-28,0
2014-04-29,0
2014-04-30,0
2014-05-01,44
2014-05-02,21
2014-05-03,0
2014-05-04,0
2014-05-05,20
2014-05-06,0
2014-05-07,20
2014-05-08,40
2014-05-09,0
2014-05-10,0
2014-05-11,0
2014-05-12,0
2014-05-13,19
2014-05-14,20
2014-05-15,40
2014-05-16,0
2014-05-17,0
2014-05-18,0
2014-05-19,0
2014-05-20,59
2014-05-21,22
2014-05-22,22
2014-05-23,0
2014-05-24,0
2014-05-25,27
2014-05-26,22
2014-05-27,21
2014-05-28,0
2014-05-29,45
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,22
2014-06-05,22
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,44
2014-06-10,22
2014-06-11,65
2014-06-12,22
2014-06-13,0
2014-06-14,0
2014-06-15,0
2014-06-16,44
2014-06-17,44
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,22
2014-06-24,22
2014-06-25,22
2014-06-26,22
2014-06-27,47
2014-06-28,0
2014-06-29,27
2014-06-30,0
2014-07-01,22
2014-07-02,23
2014-07-03,23
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,22
2014-07-08,22
2014-07-09,22
2014-07-10,44
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,22
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,27
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,69
2014-07-24,90
