date,ILMN stock
2015-12-26,0
2015-12-27,6
2015-12-28,10
2015-12-29,10
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,5
2016-01-05,15
2016-01-06,0
2016-01-07,10
2016-01-08,0
2016-01-09,6
2016-01-10,0
2016-01-11,5
2016-01-12,33
2016-01-13,19
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,5
2016-01-20,15
2016-01-21,19
2016-01-22,0
2016-01-23,0
2016-01-24,5
2016-01-25,0
2016-01-26,0
2016-01-27,5
2016-01-28,15
2016-01-29,0
2016-01-30,0
2016-01-31,11
2016-02-01,0
2016-02-02,5
2016-02-03,14
2016-02-04,15
2016-02-05,10
2016-02-06,6
2016-02-07,0
2016-02-08,10
2016-02-09,5
2016-02-10,19
2016-02-11,10
2016-02-12,15
2016-02-13,0
2016-02-14,0
2016-02-15,5
2016-02-16,5
2016-02-17,5
2016-02-18,9
2016-02-19,5
2016-02-20,0
2016-02-21,0
2016-02-22,9
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,5
2016-02-28,0
2016-02-29,0
2016-03-01,5
2016-03-02,9
2016-03-03,9
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,19
2016-03-08,0
2016-03-09,5
2016-03-10,14
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,9
2016-03-15,0
2016-03-16,9
2016-03-17,10
2016-03-18,10
2016-03-19,5
2016-03-20,0
2016-03-21,19
2016-03-22,0
2016-03-23,5
2016-03-24,0
2016-03-25,11
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,14
2016-03-30,0
2016-03-31,10
2016-04-01,5
2016-04-02,11
2016-04-03,0
2016-04-04,14
2016-04-05,5
2016-04-06,19
2016-04-07,14
2016-04-08,10
2016-04-09,0
2016-04-10,0
2016-04-11,5
2016-04-12,9
2016-04-13,14
2016-04-14,24
2016-04-15,10
2016-04-16,0
2016-04-17,5
2016-04-18,38
2016-04-19,100
2016-04-20,72
2016-04-21,19
2016-04-22,45
2016-04-23,6
2016-04-24,5
2016-04-25,19
2016-04-26,14
2016-04-27,9
2016-04-28,19
2016-04-29,20
2016-04-30,11
2016-05-01,0
2016-05-02,5
2016-05-03,19
2016-05-04,34
2016-05-05,15
2016-05-06,20
2016-05-07,11
2016-05-08,0
2016-05-09,14
2016-05-10,14
2016-05-11,14
2016-05-12,9
2016-05-13,10
2016-05-14,0
2016-05-15,0
2016-05-16,9
2016-05-17,19
2016-05-18,9
2016-05-19,14
2016-05-20,25
2016-05-21,0
2016-05-22,6
2016-05-23,0
2016-05-24,14
2016-05-25,10
2016-05-26,15
2016-05-27,5
2016-05-28,0
2016-05-29,0
2016-05-30,5
2016-05-31,5
2016-06-01,5
2016-06-02,15
2016-06-03,5
2016-06-04,6
2016-06-05,0
2016-06-06,5
2016-06-07,5
2016-06-08,14
2016-06-09,10
2016-06-10,15
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,9
2016-06-15,5
2016-06-16,5
2016-06-17,15
2016-06-18,0
2016-06-19,11
2016-06-20,5
2016-06-21,14
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,5
2016-06-28,20
2016-06-29,5
2016-06-30,10
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,15
2016-07-06,0
2016-07-07,5
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,10
2016-07-12,15
2016-07-13,15
2016-07-14,10
2016-07-15,16
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,5
2016-07-20,5
2016-07-21,0
2016-07-22,5
2016-07-23,0
2016-07-24,0
2016-07-25,5
2016-07-26,20
2016-07-27,31
2016-07-28,31
2016-07-29,16
2016-07-30,0
2016-07-31,0
2016-08-01,15
2016-08-02,15
2016-08-03,0
2016-08-04,10
2016-08-05,6
2016-08-06,0
2016-08-07,0
2016-08-08,5
2016-08-09,5
2016-08-10,11
2016-08-11,11
2016-08-12,17
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,5
2016-08-17,0
2016-08-18,49
2016-08-19,22
2016-08-20,0
2016-08-21,6
2016-08-22,11
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,5
2016-08-27,0
2016-08-28,0
2016-08-29,5
2016-08-30,10
2016-08-31,10
2016-09-01,0
2016-09-02,16
2016-09-03,6
2016-09-04,0
2016-09-05,0
2016-09-06,10
2016-09-07,10
2016-09-08,0
2016-09-09,0
2016-09-10,6
2016-09-11,0
