date,ILMN stock
2014-12-01,17
2014-12-02,34
2014-12-03,52
2014-12-04,35
2014-12-05,37
2014-12-06,0
2014-12-07,0
2014-12-08,0
2014-12-09,17
2014-12-10,0
2014-12-11,26
2014-12-12,37
2014-12-13,21
2014-12-14,0
2014-12-15,18
2014-12-16,18
2014-12-17,18
2014-12-18,27
2014-12-19,19
2014-12-20,22
2014-12-21,0
2014-12-22,19
2014-12-23,19
2014-12-24,0
2014-12-25,0
2014-12-26,21
2014-12-27,21
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,0
2015-01-01,0
2015-01-02,19
2015-01-03,21
2015-01-04,0
2015-01-05,17
2015-01-06,35
2015-01-07,17
2015-01-08,26
2015-01-09,18
2015-01-10,39
2015-01-11,0
2015-01-12,50
2015-01-13,25
2015-01-14,25
2015-01-15,17
2015-01-16,26
2015-01-17,0
2015-01-18,20
2015-01-19,0
2015-01-20,33
2015-01-21,17
2015-01-22,67
2015-01-23,26
2015-01-24,39
2015-01-25,0
2015-01-26,42
2015-01-27,49
2015-01-28,17
2015-01-29,17
2015-01-30,43
2015-01-31,0
2015-02-01,0
2015-02-02,16
2015-02-03,0
2015-02-04,0
2015-02-05,33
2015-02-06,17
2015-02-07,0
2015-02-08,0
2015-02-09,33
2015-02-10,16
2015-02-11,16
2015-02-12,34
2015-02-13,18
2015-02-14,20
2015-02-15,0
2015-02-16,0
2015-02-17,34
2015-02-18,34
2015-02-19,0
2015-02-20,26
2015-02-21,20
2015-02-22,0
2015-02-23,32
2015-02-24,49
2015-02-25,25
2015-02-26,33
2015-02-27,17
2015-02-28,38
2015-03-01,0
2015-03-02,16
2015-03-03,24
2015-03-04,50
2015-03-05,0
2015-03-06,26
2015-03-07,19
2015-03-08,0
2015-03-09,16
2015-03-10,0
2015-03-11,16
2015-03-12,33
2015-03-13,26
2015-03-14,39
2015-03-15,19
2015-03-16,16
2015-03-17,25
2015-03-18,25
2015-03-19,0
2015-03-20,0
2015-03-21,19
2015-03-22,0
2015-03-23,16
2015-03-24,24
2015-03-25,24
2015-03-26,0
2015-03-27,35
2015-03-28,0
2015-03-29,20
2015-03-30,16
2015-03-31,33
2015-04-01,17
2015-04-02,18
2015-04-03,19
2015-04-04,20
2015-04-05,0
2015-04-06,18
2015-04-07,16
2015-04-08,17
2015-04-09,17
2015-04-10,44
2015-04-11,40
2015-04-12,0
2015-04-13,16
2015-04-14,0
2015-04-15,17
2015-04-16,33
2015-04-17,17
2015-04-18,20
2015-04-19,0
2015-04-20,49
2015-04-21,33
2015-04-22,74
2015-04-23,42
2015-04-24,52
2015-04-25,0
2015-04-26,0
2015-04-27,57
2015-04-28,0
2015-04-29,33
2015-04-30,17
2015-05-01,56
2015-05-02,20
2015-05-03,0
2015-05-04,17
2015-05-05,25
2015-05-06,24
2015-05-07,17
2015-05-08,61
2015-05-09,40
2015-05-10,0
2015-05-11,25
2015-05-12,33
2015-05-13,33
2015-05-14,17
2015-05-15,34
2015-05-16,20
2015-05-17,0
2015-05-18,49
2015-05-19,16
2015-05-20,16
2015-05-21,50
2015-05-22,17
2015-05-23,20
2015-05-24,20
2015-05-25,17
2015-05-26,32
2015-05-27,0
2015-05-28,33
2015-05-29,34
2015-05-30,29
2015-05-31,0
2015-06-01,33
2015-06-02,16
2015-06-03,33
2015-06-04,34
2015-06-05,0
2015-06-06,20
2015-06-07,0
2015-06-08,32
2015-06-09,65
2015-06-10,25
2015-06-11,58
2015-06-12,34
2015-06-13,20
2015-06-14,20
2015-06-15,32
2015-06-16,49
2015-06-17,50
2015-06-18,25
2015-06-19,52
2015-06-20,30
2015-06-21,0
2015-06-22,16
2015-06-23,0
2015-06-24,41
2015-06-25,17
2015-06-26,26
2015-06-27,20
2015-06-28,0
2015-06-29,41
2015-06-30,50
2015-07-01,50
2015-07-02,17
2015-07-03,18
2015-07-04,20
2015-07-05,0
2015-07-06,16
2015-07-07,0
2015-07-08,24
2015-07-09,50
2015-07-10,17
2015-07-11,20
2015-07-12,0
2015-07-13,16
2015-07-14,50
2015-07-15,42
2015-07-16,17
2015-07-17,26
2015-07-18,21
2015-07-19,0
2015-07-20,17
2015-07-21,66
2015-07-22,100
2015-07-23,58
2015-07-24,26
2015-07-25,49
2015-07-26,0
2015-07-27,0
2015-07-28,33
2015-07-29,33
2015-07-30,17
2015-07-31,35
2015-08-01,0
2015-08-02,0
2015-08-03,17
2015-08-04,16
2015-08-05,25
2015-08-06,25
2015-08-07,26
2015-08-08,0
2015-08-09,0
2015-08-10,16
2015-08-11,16
2015-08-12,0
2015-08-13,17
2015-08-14,0
2015-08-15,40
2015-08-16,0
2015-08-17,25
2015-08-18,16
