date,ILMN stock
2017-10-06,22
2017-10-07,0
2017-10-08,12
2017-10-09,31
2017-10-10,31
2017-10-11,10
2017-10-12,22
2017-10-13,11
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,31
2017-10-18,0
2017-10-19,21
2017-10-20,22
2017-10-21,0
2017-10-22,0
2017-10-23,51
2017-10-24,41
2017-10-25,52
2017-10-26,53
2017-10-27,44
2017-10-28,0
2017-10-29,12
2017-10-30,31
2017-10-31,53
2017-11-01,32
2017-11-02,32
2017-11-03,21
2017-11-04,0
2017-11-05,23
2017-11-06,41
2017-11-07,41
2017-11-08,0
2017-11-09,21
2017-11-10,21
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,41
2017-11-16,10
2017-11-17,0
2017-11-18,12
2017-11-19,0
2017-11-20,10
2017-11-21,10
2017-11-22,10
2017-11-23,0
2017-11-24,11
2017-11-25,0
2017-11-26,0
2017-11-27,10
2017-11-28,20
2017-11-29,20
2017-11-30,31
2017-12-01,43
2017-12-02,0
2017-12-03,0
2017-12-04,10
2017-12-05,41
2017-12-06,20
2017-12-07,31
2017-12-08,11
2017-12-09,0
2017-12-10,0
2017-12-11,20
2017-12-12,20
2017-12-13,20
2017-12-14,21
2017-12-15,11
2017-12-16,24
2017-12-17,0
2017-12-18,0
2017-12-19,10
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,12
2017-12-24,13
2017-12-25,0
2017-12-26,11
2017-12-27,11
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,53
2018-01-03,20
2018-01-04,82
2018-01-05,0
2018-01-06,46
2018-01-07,0
2018-01-08,20
2018-01-09,100
2018-01-10,20
2018-01-11,61
2018-01-12,41
2018-01-13,34
2018-01-14,23
2018-01-15,10
2018-01-16,39
2018-01-17,20
2018-01-18,0
2018-01-19,21
2018-01-20,11
2018-01-21,11
2018-01-22,0
2018-01-23,10
2018-01-24,10
2018-01-25,30
2018-01-26,0
2018-01-27,11
2018-01-28,0
2018-01-29,29
2018-01-30,59
2018-01-31,79
2018-02-01,20
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,39
2018-02-06,30
2018-02-07,10
2018-02-08,30
2018-02-09,31
2018-02-10,11
2018-02-11,11
2018-02-12,30
2018-02-13,20
2018-02-14,50
2018-02-15,0
2018-02-16,10
2018-02-17,23
2018-02-18,0
2018-02-19,0
2018-02-20,10
2018-02-21,29
2018-02-22,10
2018-02-23,51
2018-02-24,22
2018-02-25,11
2018-02-26,58
2018-02-27,19
2018-02-28,0
2018-03-01,0
2018-03-02,30
2018-03-03,22
2018-03-04,0
2018-03-05,10
2018-03-06,29
2018-03-07,49
2018-03-08,10
2018-03-09,10
2018-03-10,0
2018-03-11,11
2018-03-12,19
2018-03-13,10
2018-03-14,19
2018-03-15,10
2018-03-16,20
2018-03-17,0
2018-03-18,0
2018-03-19,20
2018-03-20,10
2018-03-21,20
2018-03-22,0
2018-03-23,20
2018-03-24,0
2018-03-25,11
2018-03-26,0
2018-03-27,20
2018-03-28,30
2018-03-29,11
2018-03-30,11
2018-03-31,12
2018-04-01,0
2018-04-02,0
2018-04-03,10
2018-04-04,20
2018-04-05,40
2018-04-06,10
2018-04-07,0
2018-04-08,11
2018-04-09,10
