date,Cerner,isPartial
2017-05-29,28,False
2017-05-30,48,False
2017-05-31,42,False
2017-06-01,50,False
2017-06-02,44,False
2017-06-03,16,False
2017-06-04,12,False
2017-06-05,100,False
2017-06-06,73,False
2017-06-07,63,False
2017-06-08,51,False
2017-06-09,38,False
2017-06-10,21,False
2017-06-11,25,False
2017-06-12,44,False
2017-06-13,56,False
2017-06-14,47,False
2017-06-15,56,False
2017-06-16,45,False
2017-06-17,14,False
2017-06-18,25,False
2017-06-19,48,False
2017-06-20,58,False
2017-06-21,38,False
2017-06-22,52,False
2017-06-23,36,False
2017-06-24,24,False
2017-06-25,16,False
2017-06-26,45,False
2017-06-27,49,False
2017-06-28,51,False
2017-06-29,48,False
2017-06-30,37,False
2017-07-01,26,False
2017-07-02,27,False
2017-07-03,32,False
2017-07-04,35,False
2017-07-05,55,False
2017-07-06,53,False
2017-07-07,51,False
2017-07-08,28,False
2017-07-09,70,False
2017-07-10,93,False
2017-07-11,74,False
2017-07-12,70,False
2017-07-13,67,False
2017-07-14,44,False
2017-07-15,25,False
2017-07-16,36,False
2017-07-17,58,False
2017-07-18,54,False
2017-07-19,57,False
2017-07-20,57,False
2017-07-21,55,False
2017-07-22,25,False
2017-07-23,31,False
2017-07-24,61,False
2017-07-25,67,False
2017-07-26,49,False
2017-07-27,51,False
2017-07-28,37,False
2017-07-29,28,False
2017-07-30,23,False
2017-07-31,59,False
2017-08-01,42,False
2017-08-02,47,False
2017-08-03,44,False
2017-08-04,34,False
2017-08-05,25,False
2017-08-06,27,False
2017-08-07,56,False
2017-08-08,46,False
2017-08-09,51,False
2017-08-10,41,False
2017-08-11,43,False
2017-08-12,13,False
2017-08-13,22,False
2017-08-14,57,False
2017-08-15,47,False
2017-08-16,47,False
2017-08-17,46,False
2017-08-18,64,False
2017-08-19,22,False
2017-08-20,17,False
2017-08-21,28,False
2017-08-22,40,False
2017-08-23,65,False
2017-08-24,51,False
2017-08-25,35,False
2017-08-26,12,False
2017-08-27,21,False
2017-08-28,43,False
2017-08-29,41,False
2017-08-30,58,False
2017-08-31,50,False
2017-09-01,44,False
2017-09-02,23,False
2017-09-03,23,False
2017-09-04,37,False
2017-09-05,51,False
2017-09-06,44,False
2017-09-07,56,False
2017-09-08,38,False
2017-09-09,29,False
2017-09-10,23,False
2017-09-11,46,False
2017-09-12,50,False
2017-09-13,47,False
2017-09-14,50,False
2017-09-15,49,False
2017-09-16,23,False
2017-09-17,23,False
2017-09-18,52,False
2017-09-19,69,False
2017-09-20,56,False
2017-09-21,54,False
2017-09-22,47,False
2017-09-23,22,False
2017-09-24,13,False
2017-09-25,51,False
2017-09-26,42,False
2017-09-27,61,False
2017-09-28,51,False
2017-09-29,56,False
2017-09-30,15,False
2017-10-01,33,False
2017-10-02,50,False
2017-10-03,54,False
2017-10-04,56,False
2017-10-05,61,False
2017-10-06,42,False
2017-10-07,24,False
2017-10-08,33,False
2017-10-09,70,False
2017-10-10,63,False
2017-10-11,51,False
2017-10-12,49,False
2017-10-13,59,False
2017-10-14,10,False
2017-10-15,19,False
2017-10-16,46,False
2017-10-17,44,False
2017-10-18,63,False
2017-10-19,48,False
2017-10-20,48,False
2017-10-21,21,False
2017-10-22,22,False
2017-10-23,56,False
2017-10-24,61,False
2017-10-25,59,False
2017-10-26,45,False
2017-10-27,60,False
2017-10-28,16,False
2017-10-29,33,False
2017-10-30,49,False
2017-10-31,64,False
2017-11-01,50,False
2017-11-02,42,False
2017-11-03,51,False
2017-11-04,17,False
2017-11-05,20,False
2017-11-06,56,False
2017-11-07,42,False
2017-11-08,54,False
2017-11-09,62,False
2017-11-10,33,False
2017-11-11,22,False
2017-11-12,17,False
2017-11-13,41,False
2017-11-14,57,False
2017-11-15,57,False
2017-11-16,59,False
