date,Cerner,isPartial
2013-11-06,67,False
2013-11-07,59,False
2013-11-08,51,False
2013-11-09,49,False
2013-11-10,31,False
2013-11-11,39,False
2013-11-12,56,False
2013-11-13,29,False
2013-11-14,44,False
2013-11-15,57,False
2013-11-16,18,False
2013-11-17,22,False
2013-11-18,49,False
2013-11-19,76,False
2013-11-20,50,False
2013-11-21,66,False
2013-11-22,55,False
2013-11-23,27,False
2013-11-24,24,False
2013-11-25,45,False
2013-11-26,51,False
2013-11-27,44,False
2013-11-28,25,False
2013-11-29,31,False
2013-11-30,27,False
2013-12-01,26,False
2013-12-02,54,False
2013-12-03,45,False
2013-12-04,69,False
2013-12-05,50,False
2013-12-06,50,False
2013-12-07,48,False
2013-12-08,38,False
2013-12-09,45,False
2013-12-10,49,False
2013-12-11,39,False
2013-12-12,49,False
2013-12-13,72,False
2013-12-14,30,False
2013-12-15,25,False
2013-12-16,47,False
2013-12-17,43,False
2013-12-18,53,False
2013-12-19,38,False
2013-12-20,32,False
2013-12-21,38,False
2013-12-22,26,False
2013-12-23,32,False
2013-12-24,29,False
2013-12-25,13,False
2013-12-26,35,False
2013-12-27,23,False
2013-12-28,19,False
2013-12-29,25,False
2013-12-30,69,False
2013-12-31,49,False
2014-01-01,32,False
2014-01-02,64,False
2014-01-03,52,False
2014-01-04,24,False
2014-01-05,22,False
2014-01-06,48,False
2014-01-07,58,False
2014-01-08,58,False
2014-01-09,57,False
2014-01-10,42,False
2014-01-11,28,False
2014-01-12,31,False
2014-01-13,52,False
2014-01-14,81,False
2014-01-15,74,False
2014-01-16,52,False
2014-01-17,55,False
2014-01-18,55,False
2014-01-19,34,False
2014-01-20,70,False
2014-01-21,51,False
2014-01-22,53,False
2014-01-23,61,False
2014-01-24,56,False
2014-01-25,28,False
2014-01-26,50,False
2014-01-27,56,False
2014-01-28,66,False
2014-01-29,53,False
2014-01-30,41,False
2014-01-31,64,False
2014-02-01,35,False
2014-02-02,38,False
2014-02-03,58,False
2014-02-04,62,False
2014-02-05,62,False
2014-02-06,61,False
2014-02-07,53,False
2014-02-08,34,False
2014-02-09,34,False
2014-02-10,63,False
2014-02-11,69,False
2014-02-12,64,False
2014-02-13,66,False
2014-02-14,40,False
2014-02-15,24,False
2014-02-16,26,False
2014-02-17,52,False
2014-02-18,63,False
2014-02-19,64,False
2014-02-20,46,False
2014-02-21,67,False
2014-02-22,40,False
2014-02-23,45,False
2014-02-24,66,False
2014-02-25,55,False
2014-02-26,59,False
2014-02-27,71,False
2014-02-28,69,False
2014-03-01,26,False
2014-03-02,15,False
2014-03-03,46,False
2014-03-04,58,False
2014-03-05,63,False
2014-03-06,87,False
2014-03-07,69,False
2014-03-08,35,False
2014-03-09,34,False
2014-03-10,67,False
2014-03-11,71,False
2014-03-12,48,False
2014-03-13,44,False
2014-03-14,52,False
2014-03-15,30,False
2014-03-16,17,False
2014-03-17,62,False
2014-03-18,74,False
2014-03-19,37,False
2014-03-20,47,False
2014-03-21,33,False
2014-03-22,30,False
2014-03-23,27,False
2014-03-24,43,False
2014-03-25,61,False
2014-03-26,45,False
2014-03-27,66,False
2014-03-28,36,False
2014-03-29,30,False
2014-03-30,26,False
2014-03-31,69,False
2014-04-01,74,False
2014-04-02,66,False
2014-04-03,68,False
2014-04-04,47,False
2014-04-05,34,False
2014-04-06,34,False
2014-04-07,75,False
2014-04-08,75,False
2014-04-09,60,False
2014-04-10,65,False
2014-04-11,100,False
2014-04-12,60,False
2014-04-13,35,False
2014-04-14,46,False
2014-04-15,95,False
2014-04-16,67,False
2014-04-17,63,False
2014-04-18,49,False
2014-04-19,34,False
2014-04-20,18,False
2014-04-21,67,False
2014-04-22,67,False
2014-04-23,88,False
2014-04-24,74,False
2014-04-25,83,False
2014-04-26,26,False
2014-04-27,25,False
2014-04-28,49,False
2014-04-29,61,False
2014-04-30,81,False
2014-05-01,79,False
2014-05-02,43,False
2014-05-03,30,False
2014-05-04,45,False
2014-05-05,66,False
2014-05-06,61,False
2014-05-07,56,False
2014-05-08,43,False
2014-05-09,79,False
2014-05-10,26,False
2014-05-11,21,False
2014-05-12,57,False
2014-05-13,47,False
2014-05-14,55,False
2014-05-15,63,False
2014-05-16,74,False
2014-05-17,33,False
2014-05-18,31,False
2014-05-19,40,False
2014-05-20,57,False
2014-05-21,55,False
2014-05-22,65,False
2014-05-23,54,False
2014-05-24,17,False
2014-05-25,24,False
2014-05-26,20,False
2014-05-27,43,False
2014-05-28,72,False
2014-05-29,51,False
2014-05-30,58,False
2014-05-31,42,False
2014-06-01,22,False
2014-06-02,69,False
2014-06-03,65,False
2014-06-04,58,False
2014-06-05,86,False
2014-06-06,68,False
2014-06-07,20,False
2014-06-08,40,False
2014-06-09,70,False
2014-06-10,73,False
2014-06-11,73,False
2014-06-12,61,False
2014-06-13,71,False
2014-06-14,34,False
2014-06-15,27,False
2014-06-16,57,False
2014-06-17,54,False
2014-06-18,74,False
2014-06-19,50,False
2014-06-20,43,False
2014-06-21,18,False
2014-06-22,32,False
2014-06-23,53,False
2014-06-24,63,False
2014-06-25,74,False
2014-06-26,66,False
2014-06-27,56,False
2014-06-28,20,False
2014-06-29,35,False
2014-06-30,63,False
2014-07-01,54,False
2014-07-02,60,False
2014-07-03,42,False
2014-07-04,25,False
2014-07-05,18,False
2014-07-06,25,False
2014-07-07,62,False
2014-07-08,50,False
2014-07-09,47,False
2014-07-10,72,False
2014-07-11,58,False
2014-07-12,34,False
2014-07-13,41,False
2014-07-14,68,False
2014-07-15,73,False
2014-07-16,76,False
2014-07-17,79,False
2014-07-18,61,False
2014-07-19,40,False
2014-07-20,30,False
2014-07-21,71,False
2014-07-22,57,False
2014-07-23,64,False
2014-07-24,86,False
