date,Micron Technology,isPartial
2011-05-11,24,False
2011-05-12,37,False
2011-05-13,39,False
2011-05-14,0,False
2011-05-15,45,False
2011-05-16,35,False
2011-05-17,48,False
2011-05-18,24,False
2011-05-19,63,False
2011-05-20,26,False
2011-05-21,32,False
2011-05-22,30,False
2011-05-23,12,False
2011-05-24,36,False
2011-05-25,36,False
2011-05-26,24,False
2011-05-27,0,False
2011-05-28,31,False
2011-05-29,16,False
2011-05-30,0,False
2011-05-31,36,False
2011-06-01,36,False
2011-06-02,39,False
2011-06-03,52,False
2011-06-04,16,False
2011-06-05,31,False
2011-06-06,49,False
2011-06-07,12,False
2011-06-08,0,False
2011-06-09,37,False
2011-06-10,25,False
2011-06-11,0,False
2011-06-12,0,False
2011-06-13,49,False
2011-06-14,12,False
2011-06-15,36,False
2011-06-16,24,False
2011-06-17,0,False
2011-06-18,15,False
2011-06-19,0,False
2011-06-20,0,False
2011-06-21,48,False
2011-06-22,37,False
2011-06-23,51,False
2011-06-24,39,False
2011-06-25,47,False
2011-06-26,16,False
2011-06-27,12,False
2011-06-28,48,False
2011-06-29,37,False
2011-06-30,49,False
2011-07-01,39,False
2011-07-02,16,False
2011-07-03,16,False
2011-07-04,13,False
2011-07-05,12,False
2011-07-06,25,False
2011-07-07,25,False
2011-07-08,39,False
2011-07-09,80,False
2011-07-10,0,False
2011-07-11,36,False
2011-07-12,60,False
2011-07-13,61,False
2011-07-14,51,False
2011-07-15,0,False
2011-07-16,48,False
2011-07-17,16,False
2011-07-18,25,False
2011-07-19,36,False
2011-07-20,0,False
2011-07-21,38,False
2011-07-22,52,False
2011-07-23,30,False
2011-07-24,15,False
2011-07-25,61,False
2011-07-26,12,False
2011-07-27,62,False
2011-07-28,12,False
2011-07-29,39,False
2011-07-30,31,False
2011-07-31,0,False
2011-08-01,12,False
2011-08-02,74,False
2011-08-03,74,False
2011-08-04,12,False
2011-08-05,13,False
2011-08-06,0,False
2011-08-07,45,False
2011-08-08,59,False
2011-08-09,47,False
2011-08-10,24,False
2011-08-11,24,False
2011-08-12,13,False
2011-08-13,31,False
2011-08-14,61,False
2011-08-15,63,False
2011-08-16,12,False
2011-08-17,24,False
2011-08-18,12,False
2011-08-19,63,False
2011-08-20,15,False
2011-08-21,15,False
2011-08-22,0,False
2011-08-23,46,False
2011-08-24,24,False
2011-08-25,58,False
2011-08-26,12,False
2011-08-27,15,False
2011-08-28,14,False
2011-08-29,23,False
2011-08-30,46,False
2011-08-31,12,False
2011-09-01,72,False
2011-09-02,36,False
2011-09-03,14,False
2011-09-04,14,False
2011-09-05,12,False
2011-09-06,11,False
2011-09-07,46,False
2011-09-08,67,False
2011-09-09,36,False
2011-09-10,14,False
2011-09-11,27,False
2011-09-12,100,False
2011-09-13,78,False
2011-09-14,67,False
2011-09-15,68,False
2011-09-16,36,False
2011-09-17,42,False
2011-09-18,14,False
2011-09-19,11,False
2011-09-20,11,False
2011-09-21,22,False
2011-09-22,56,False
2011-09-23,24,False
2011-09-24,28,False
2011-09-25,0,False
2011-09-26,22,False
2011-09-27,76,False
2011-09-28,77,False
2011-09-29,90,False
2011-09-30,47,False
2011-10-01,42,False
2011-10-02,41,False
2011-10-03,22,False
2011-10-04,55,False
2011-10-05,33,False
2011-10-06,33,False
2011-10-07,46,False
2011-10-08,0,False
2011-10-09,53,False
2011-10-10,22,False
2011-10-11,62,False
2011-10-12,11,False
2011-10-13,33,False
2011-10-14,91,False
2011-10-15,13,False
2011-10-16,13,False
2011-10-17,11,False
2011-10-18,65,False
2011-10-19,54,False
2011-10-20,11,False
2011-10-21,34,False
2011-10-22,14,False
2011-10-23,0,False
2011-10-24,32,False
2011-10-25,53,False
2011-10-26,33,False
2011-10-27,65,False
2011-10-28,46,False
2011-10-29,27,False
2011-10-30,13,False
2011-10-31,56,False
2011-11-01,56,False
2011-11-02,22,False
2011-11-03,65,False
2011-11-04,22,False
2011-11-05,13,False
2011-11-06,0,False
2011-11-07,21,False
2011-11-08,32,False
2011-11-09,32,False
2011-11-10,44,False
2011-11-11,34,False
2011-11-12,13,False
2011-11-13,0,False
2011-11-14,21,False
2011-11-15,63,False
2011-11-16,53,False
2011-11-17,53,False
2011-11-18,45,False
2011-11-19,0,False
2011-11-20,38,False
2011-11-21,42,False
2011-11-22,73,False
2011-11-23,32,False
2011-11-24,11,False
2011-11-25,0,False
2011-11-26,13,False
2011-11-27,0,False
2011-11-28,21,False
2011-11-29,41,False
2011-11-30,0,False
2011-12-01,31,False
2011-12-02,22,False
2011-12-03,0,False
2011-12-04,13,False
2011-12-05,52,False
2011-12-06,31,False
2011-12-07,21,False
2011-12-08,43,False
2011-12-09,22,False
2011-12-10,38,False
2011-12-11,38,False
2011-12-12,52,False
2011-12-13,73,False
2011-12-14,31,False
2011-12-15,21,False
2011-12-16,56,False
2011-12-17,26,False
2011-12-18,64,False
2011-12-19,63,False
2011-12-20,22,False
2011-12-21,22,False
2011-12-22,23,False
2011-12-23,12,False
2011-12-24,29,False
2011-12-25,15,False
2011-12-26,0,False
2011-12-27,11,False
2011-12-28,23,False
2011-12-29,0,False
2011-12-30,12,False
2011-12-31,14,False
2012-01-01,0,False
2012-01-02,22,False
2012-01-03,21,False
2012-01-04,0,False
2012-01-05,42,False
2012-01-06,55,False
2012-01-07,0,False
2012-01-08,0,False
2012-01-09,50,False
2012-01-10,50,False
2012-01-11,30,False
2012-01-12,21,False
2012-01-13,52,False
2012-01-14,36,False
2012-01-15,24,False
2012-01-16,40,False
2012-01-17,30,False
2012-01-18,10,False
2012-01-19,0,False
2012-01-20,21,False
2012-01-21,0,False
2012-01-22,12,False
2012-01-23,40,False
2012-01-24,29,False
2012-01-25,39,False
2012-01-26,51,False
