date,MYL stock
2014-12-01,0
2014-12-02,15
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-06,18
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,15
2014-12-11,46
2014-12-12,16
2014-12-13,0
2014-12-14,0
2014-12-15,15
2014-12-16,0
2014-12-17,15
2014-12-18,16
2014-12-19,17
2014-12-20,0
2014-12-21,0
2014-12-22,16
2014-12-23,50
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,17
2014-12-31,18
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,15
2015-01-07,15
2015-01-08,15
2015-01-09,15
2015-01-10,0
2015-01-11,17
2015-01-12,0
2015-01-13,21
2015-01-14,15
2015-01-15,0
2015-01-16,15
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,14
2015-01-21,14
2015-01-22,14
2015-01-23,37
2015-01-24,0
2015-01-25,17
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,14
2015-01-30,15
2015-01-31,17
2015-02-01,17
2015-02-02,14
2015-02-03,14
2015-02-04,14
2015-02-05,14
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,14
2015-02-10,0
2015-02-11,14
2015-02-12,0
2015-02-13,0
2015-02-14,17
2015-02-15,17
2015-02-16,15
2015-02-17,15
2015-02-18,15
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,14
2015-02-24,14
2015-02-25,0
2015-02-26,14
2015-02-27,0
2015-02-28,0
2015-03-01,16
2015-03-02,50
2015-03-03,14
2015-03-04,14
2015-03-05,14
2015-03-06,15
2015-03-07,17
2015-03-08,0
2015-03-09,0
2015-03-10,0
2015-03-11,14
2015-03-12,29
2015-03-13,44
2015-03-14,0
2015-03-15,0
2015-03-16,14
2015-03-17,43
2015-03-18,36
2015-03-19,28
2015-03-20,15
2015-03-21,0
2015-03-22,16
2015-03-23,28
2015-03-24,14
2015-03-25,0
2015-03-26,17
2015-03-27,15
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,14
2015-04-01,44
2015-04-02,15
2015-04-03,16
2015-04-04,0
2015-04-05,0
2015-04-06,23
2015-04-07,14
2015-04-08,100
2015-04-09,57
2015-04-10,30
2015-04-11,0
2015-04-12,0
2015-04-13,28
2015-04-14,0
2015-04-15,14
2015-04-16,28
2015-04-17,22
2015-04-18,0
2015-04-19,17
2015-04-20,0
2015-04-21,57
2015-04-22,35
2015-04-23,14
2015-04-24,45
2015-04-25,17
2015-04-26,0
2015-04-27,28
2015-04-28,35
2015-04-29,21
2015-04-30,44
2015-05-01,16
2015-05-02,17
2015-05-03,17
2015-05-04,0
2015-05-05,42
2015-05-06,28
2015-05-07,29
2015-05-08,23
2015-05-09,17
2015-05-10,0
2015-05-11,28
2015-05-12,14
2015-05-13,14
2015-05-14,44
2015-05-15,15
2015-05-16,0
2015-05-17,34
2015-05-18,0
2015-05-19,28
2015-05-20,14
2015-05-21,14
2015-05-22,0
2015-05-23,17
2015-05-24,0
2015-05-25,15
2015-05-26,14
2015-05-27,14
2015-05-28,14
2015-05-29,15
2015-05-30,17
2015-05-31,17
2015-06-01,21
2015-06-02,14
2015-06-03,28
2015-06-04,30
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,14
2015-06-09,14
2015-06-10,14
2015-06-11,29
2015-06-12,15
2015-06-13,0
2015-06-14,0
2015-06-15,14
2015-06-16,14
2015-06-17,21
2015-06-18,0
2015-06-19,15
2015-06-20,17
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,36
2015-06-25,29
2015-06-26,15
2015-06-27,17
2015-06-28,0
2015-06-29,14
2015-06-30,0
2015-07-01,14
2015-07-02,29
2015-07-03,0
2015-07-04,17
2015-07-05,0
2015-07-06,21
2015-07-07,57
2015-07-08,14
2015-07-09,0
2015-07-10,22
2015-07-11,0
2015-07-12,0
2015-07-13,57
2015-07-14,0
2015-07-15,0
2015-07-16,15
2015-07-17,15
2015-07-18,19
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,15
2015-07-24,15
2015-07-25,17
2015-07-26,17
2015-07-27,42
2015-07-28,0
2015-07-29,35
2015-07-30,14
2015-07-31,15
2015-08-01,0
2015-08-02,0
2015-08-03,14
2015-08-04,14
2015-08-05,0
2015-08-06,0
2015-08-07,15
2015-08-08,0
2015-08-09,0
2015-08-10,14
2015-08-11,28
2015-08-12,14
2015-08-13,14
2015-08-14,15
2015-08-15,0
2015-08-16,17
2015-08-17,0
2015-08-18,14
