date,MYL stock
2018-02-13,34
2018-02-14,68
2018-02-15,34
2018-02-16,35
2018-02-17,0
2018-02-18,0
2018-02-19,66
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,33
2018-02-28,49
2018-03-01,98
2018-03-02,35
2018-03-03,0
2018-03-04,38
2018-03-05,0
2018-03-06,99
2018-03-07,0
2018-03-08,67
2018-03-09,70
2018-03-10,0
2018-03-11,38
2018-03-12,0
2018-03-13,66
2018-03-14,33
2018-03-15,34
2018-03-16,69
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,66
2018-03-21,33
2018-03-22,0
2018-03-23,35
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,34
2018-03-28,35
2018-03-29,71
2018-03-30,38
2018-03-31,0
2018-04-01,0
2018-04-02,36
2018-04-03,100
2018-04-04,66
2018-04-05,34
2018-04-06,35
2018-04-07,0
2018-04-08,0
2018-04-09,0
