date,MYL stock
2017-05-29,6
2017-05-30,6
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-03,0
2017-06-04,0
2017-06-05,12
2017-06-06,0
2017-06-07,0
2017-06-08,6
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,12
2017-06-13,0
2017-06-14,25
2017-06-15,0
2017-06-16,19
2017-06-17,7
2017-06-18,0
2017-06-19,12
2017-06-20,18
2017-06-21,0
2017-06-22,0
2017-06-23,12
2017-06-24,7
2017-06-25,0
2017-06-26,6
2017-06-27,0
2017-06-28,6
2017-06-29,6
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,13
2017-07-04,0
2017-07-05,13
2017-07-06,6
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,6
2017-07-11,0
2017-07-12,6
2017-07-13,13
2017-07-14,20
2017-07-15,0
2017-07-16,0
2017-07-17,19
2017-07-18,6
2017-07-19,12
2017-07-20,6
2017-07-21,13
2017-07-22,0
2017-07-23,7
2017-07-24,19
2017-07-25,6
2017-07-26,6
2017-07-27,6
2017-07-28,6
2017-07-29,7
2017-07-30,0
2017-07-31,0
2017-08-01,12
2017-08-02,17
2017-08-03,31
2017-08-04,19
2017-08-05,0
2017-08-06,14
2017-08-07,12
2017-08-08,12
2017-08-09,30
2017-08-10,37
2017-08-11,25
2017-08-12,7
2017-08-13,0
2017-08-14,19
2017-08-15,6
2017-08-16,18
2017-08-17,0
2017-08-18,6
2017-08-19,0
2017-08-20,0
2017-08-21,6
2017-08-22,12
2017-08-23,6
2017-08-24,0
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,6
2017-08-30,18
2017-08-31,0
2017-09-01,0
2017-09-02,7
2017-09-03,7
2017-09-04,0
2017-09-05,12
2017-09-06,12
2017-09-07,6
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,6
2017-09-12,0
2017-09-13,6
2017-09-14,0
2017-09-15,6
2017-09-16,7
2017-09-17,0
2017-09-18,6
2017-09-19,0
2017-09-20,6
2017-09-21,12
2017-09-22,0
2017-09-23,0
2017-09-24,7
2017-09-25,0
2017-09-26,18
2017-09-27,6
2017-09-28,12
2017-09-29,6
2017-09-30,0
2017-10-01,0
2017-10-02,12
2017-10-03,12
2017-10-04,100
2017-10-05,59
2017-10-06,18
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,23
2017-10-11,6
2017-10-12,12
2017-10-13,12
2017-10-14,7
2017-10-15,0
2017-10-16,0
2017-10-17,6
2017-10-18,12
2017-10-19,6
2017-10-20,12
2017-10-21,0
2017-10-22,7
2017-10-23,23
2017-10-24,12
2017-10-25,6
2017-10-26,6
2017-10-27,12
2017-10-28,0
2017-10-29,0
2017-10-30,6
2017-10-31,41
2017-11-01,12
2017-11-02,6
2017-11-03,6
2017-11-04,0
2017-11-05,0
2017-11-06,40
2017-11-07,0
2017-11-08,6
2017-11-09,6
2017-11-10,6
2017-11-11,0
2017-11-12,0
2017-11-13,6
2017-11-14,11
2017-11-15,11
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,6
2017-11-20,17
2017-11-21,11
2017-11-22,6
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,17
2017-11-28,0
2017-11-29,11
2017-11-30,12
2017-12-01,18
2017-12-02,7
2017-12-03,0
2017-12-04,6
2017-12-05,6
2017-12-06,6
2017-12-07,12
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,6
2017-12-13,11
2017-12-14,12
2017-12-15,6
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,18
2017-12-20,6
2017-12-21,6
2017-12-22,0
2017-12-23,7
2017-12-24,7
2017-12-25,0
2017-12-26,6
2017-12-27,12
2017-12-28,0
2017-12-29,6
2017-12-30,0
2017-12-31,0
2018-01-01,14
2018-01-02,0
2018-01-03,6
2018-01-04,23
2018-01-05,12
2018-01-06,0
2018-01-07,0
2018-01-08,6
2018-01-09,17
2018-01-10,11
2018-01-11,6
2018-01-12,6
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,11
2018-01-17,0
2018-01-18,17
2018-01-19,6
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,6
2018-01-24,0
2018-01-25,6
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,6
2018-02-03,0
2018-02-04,0
2018-02-05,5
2018-02-06,0
2018-02-07,6
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,11
2018-02-13,6
