date,MYL stock
2017-10-06,87
2017-10-07,24
2017-10-08,0
2017-10-09,21
2017-10-10,41
2017-10-11,0
2017-10-12,43
2017-10-13,22
2017-10-14,49
2017-10-15,0
2017-10-16,63
2017-10-17,83
2017-10-18,42
2017-10-19,21
2017-10-20,22
2017-10-21,24
2017-10-22,24
2017-10-23,41
2017-10-24,0
2017-10-25,0
2017-10-26,64
2017-10-27,44
2017-10-28,0
2017-10-29,0
2017-10-30,21
2017-10-31,85
2017-11-01,21
2017-11-02,85
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,41
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,20
2017-11-15,20
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,23
2017-11-20,60
2017-11-21,20
2017-11-22,20
2017-11-23,0
2017-11-24,0
2017-11-25,23
2017-11-26,0
2017-11-27,20
2017-11-28,0
2017-11-29,20
2017-11-30,42
2017-12-01,86
2017-12-02,47
2017-12-03,23
2017-12-04,20
2017-12-05,20
2017-12-06,20
2017-12-07,0
2017-12-08,0
2017-12-09,24
2017-12-10,23
2017-12-11,20
2017-12-12,20
2017-12-13,20
2017-12-14,62
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,63
2017-12-20,0
2017-12-21,0
2017-12-22,46
2017-12-23,50
2017-12-24,26
2017-12-25,0
2017-12-26,0
2017-12-27,22
2017-12-28,44
2017-12-29,69
2017-12-30,0
2017-12-31,0
2018-01-01,25
2018-01-02,42
2018-01-03,20
2018-01-04,21
2018-01-05,21
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,100
2018-01-10,20
2018-01-11,41
2018-01-12,62
2018-01-13,23
2018-01-14,0
2018-01-15,0
2018-01-16,79
2018-01-17,0
2018-01-18,59
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,19
2018-01-23,39
2018-01-24,0
2018-01-25,20
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,20
2018-01-30,40
2018-01-31,0
2018-02-01,0
2018-02-02,20
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,0
2018-02-07,39
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,20
2018-02-13,40
2018-02-14,0
2018-02-15,0
2018-02-16,21
2018-02-17,0
2018-02-18,0
2018-02-19,20
2018-02-20,0
2018-02-21,19
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,19
2018-02-27,0
2018-02-28,19
2018-03-01,19
2018-03-02,20
2018-03-03,0
2018-03-04,22
2018-03-05,0
2018-03-06,58
2018-03-07,0
2018-03-08,40
2018-03-09,42
2018-03-10,0
2018-03-11,22
2018-03-12,0
2018-03-13,39
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,20
2018-03-21,20
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,0
2018-03-30,23
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,20
2018-04-04,0
2018-04-05,20
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
