date,VRTX stock
2017-10-06,39
2017-10-07,0
2017-10-08,14
2017-10-09,25
2017-10-10,12
2017-10-11,25
2017-10-12,13
2017-10-13,20
2017-10-14,0
2017-10-15,0
2017-10-16,13
2017-10-17,0
2017-10-18,19
2017-10-19,13
2017-10-20,13
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,18
2017-10-25,56
2017-10-26,38
2017-10-27,66
2017-10-28,29
2017-10-29,28
2017-10-30,25
2017-10-31,13
2017-11-01,38
2017-11-02,38
2017-11-03,38
2017-11-04,14
2017-11-05,14
2017-11-06,36
2017-11-07,24
2017-11-08,18
2017-11-09,18
2017-11-10,0
2017-11-11,28
2017-11-12,0
2017-11-13,12
2017-11-14,12
2017-11-15,24
2017-11-16,12
2017-11-17,0
2017-11-18,0
2017-11-19,14
2017-11-20,24
2017-11-21,24
2017-11-22,24
2017-11-23,13
2017-11-24,0
2017-11-25,14
2017-11-26,14
2017-11-27,18
2017-11-28,18
2017-11-29,18
2017-11-30,31
2017-12-01,19
2017-12-02,0
2017-12-03,14
2017-12-04,24
2017-12-05,12
2017-12-06,24
2017-12-07,25
2017-12-08,39
2017-12-09,0
2017-12-10,14
2017-12-11,30
2017-12-12,18
2017-12-13,12
2017-12-14,0
2017-12-15,19
2017-12-16,14
2017-12-17,0
2017-12-18,0
2017-12-19,37
2017-12-20,38
2017-12-21,33
2017-12-22,27
2017-12-23,15
2017-12-24,0
2017-12-25,0
2017-12-26,21
2017-12-27,13
2017-12-28,33
2017-12-29,14
2017-12-30,44
2017-12-31,0
2018-01-01,0
2018-01-02,13
2018-01-03,30
2018-01-04,12
2018-01-05,25
2018-01-06,27
2018-01-07,14
2018-01-08,30
2018-01-09,30
2018-01-10,12
2018-01-11,24
2018-01-12,19
2018-01-13,0
2018-01-14,13
2018-01-15,12
2018-01-16,0
2018-01-17,23
2018-01-18,35
2018-01-19,37
2018-01-20,27
2018-01-21,0
2018-01-22,23
2018-01-23,35
2018-01-24,23
2018-01-25,41
2018-01-26,43
2018-01-27,14
2018-01-28,13
2018-01-29,18
2018-01-30,24
2018-01-31,47
2018-02-01,100
2018-02-02,18
2018-02-03,27
2018-02-04,0
2018-02-05,35
2018-02-06,24
2018-02-07,29
2018-02-08,48
2018-02-09,37
2018-02-10,0
2018-02-11,27
2018-02-12,42
2018-02-13,24
2018-02-14,48
2018-02-15,18
2018-02-16,31
2018-02-17,27
2018-02-18,0
2018-02-19,24
2018-02-20,17
2018-02-21,29
2018-02-22,41
2018-02-23,24
2018-02-24,0
2018-02-25,20
2018-02-26,17
2018-02-27,11
2018-02-28,46
2018-03-01,23
2018-03-02,24
2018-03-03,27
2018-03-04,0
2018-03-05,28
2018-03-06,12
2018-03-07,18
2018-03-08,36
2018-03-09,25
2018-03-10,13
2018-03-11,20
2018-03-12,52
2018-03-13,35
2018-03-14,17
2018-03-15,12
2018-03-16,12
2018-03-17,13
2018-03-18,0
2018-03-19,12
2018-03-20,23
2018-03-21,18
2018-03-22,18
2018-03-23,12
2018-03-24,0
2018-03-25,13
2018-03-26,24
2018-03-27,12
2018-03-28,24
2018-03-29,13
2018-03-30,13
2018-03-31,0
2018-04-01,14
2018-04-02,19
2018-04-03,12
2018-04-04,24
2018-04-05,12
2018-04-06,12
2018-04-07,0
2018-04-08,0
2018-04-09,12
