date,VRTX stock
2016-09-11,0
2016-09-12,8
2016-09-13,8
2016-09-14,21
2016-09-15,8
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,8
2016-09-20,8
2016-09-21,8
2016-09-22,8
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,16
2016-09-28,16
2016-09-29,8
2016-09-30,17
2016-10-01,0
2016-10-02,0
2016-10-03,12
2016-10-04,8
2016-10-05,16
2016-10-06,0
2016-10-07,8
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,12
2016-10-12,25
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,8
2016-10-19,0
2016-10-20,16
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,16
2016-10-26,12
2016-10-27,8
2016-10-28,8
2016-10-29,0
2016-10-30,0
2016-10-31,17
2016-11-01,8
2016-11-02,12
2016-11-03,24
2016-11-04,0
2016-11-05,9
2016-11-06,9
2016-11-07,12
2016-11-08,8
2016-11-09,18
2016-11-10,24
2016-11-11,21
2016-11-12,0
2016-11-13,0
2016-11-14,16
2016-11-15,12
2016-11-16,8
2016-11-17,20
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,12
2016-11-22,0
2016-11-23,16
2016-11-24,8
2016-11-25,8
2016-11-26,0
2016-11-27,0
2016-11-28,8
2016-11-29,8
2016-11-30,12
2016-12-01,8
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,7
2016-12-06,11
2016-12-07,15
2016-12-08,16
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,15
2016-12-13,15
2016-12-14,8
2016-12-15,0
2016-12-16,8
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,16
2016-12-21,25
2016-12-22,13
2016-12-23,17
2016-12-24,0
2016-12-25,0
2016-12-26,9
2016-12-27,8
2016-12-28,8
2016-12-29,0
2016-12-30,9
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,8
2017-01-04,0
2017-01-05,32
2017-01-06,12
2017-01-07,9
2017-01-08,9
2017-01-09,27
2017-01-10,15
2017-01-11,11
2017-01-12,8
2017-01-13,20
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,11
2017-01-18,7
2017-01-19,0
2017-01-20,12
2017-01-21,0
2017-01-22,0
2017-01-23,7
2017-01-24,7
2017-01-25,7
2017-01-26,22
2017-01-27,8
2017-01-28,9
2017-01-29,9
2017-01-30,7
2017-01-31,23
2017-02-01,15
2017-02-02,8
2017-02-03,8
2017-02-04,0
2017-02-05,0
2017-02-06,7
2017-02-07,7
2017-02-08,0
2017-02-09,11
2017-02-10,8
2017-02-11,8
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,15
2017-02-16,7
2017-02-17,15
2017-02-18,0
2017-02-19,8
2017-02-20,0
2017-02-21,7
2017-02-22,0
2017-02-23,11
2017-02-24,0
2017-02-25,0
2017-02-26,8
2017-02-27,0
2017-02-28,7
2017-03-01,21
2017-03-02,14
2017-03-03,8
2017-03-04,8
2017-03-05,8
2017-03-06,10
2017-03-07,7
2017-03-08,0
2017-03-09,29
2017-03-10,11
2017-03-11,0
2017-03-12,0
2017-03-13,14
2017-03-14,0
2017-03-15,11
2017-03-16,0
2017-03-17,8
2017-03-18,0
2017-03-19,0
2017-03-20,11
2017-03-21,7
2017-03-22,7
2017-03-23,15
2017-03-24,8
2017-03-25,0
2017-03-26,0
2017-03-27,22
2017-03-28,18
2017-03-29,100
2017-03-30,45
2017-03-31,23
2017-04-01,0
2017-04-02,0
2017-04-03,7
2017-04-04,15
2017-04-05,29
2017-04-06,7
2017-04-07,8
2017-04-08,9
2017-04-09,9
2017-04-10,7
2017-04-11,23
2017-04-12,15
2017-04-13,16
2017-04-14,17
2017-04-15,0
2017-04-16,0
2017-04-17,15
2017-04-18,22
2017-04-19,11
2017-04-20,22
2017-04-21,15
2017-04-22,9
2017-04-23,0
2017-04-24,11
2017-04-25,14
2017-04-26,11
2017-04-27,0
2017-04-28,31
2017-04-29,0
2017-04-30,0
2017-05-01,20
2017-05-02,15
2017-05-03,7
2017-05-04,19
2017-05-05,8
2017-05-06,17
2017-05-07,8
2017-05-08,15
2017-05-09,7
2017-05-10,7
2017-05-11,11
2017-05-12,23
2017-05-13,9
2017-05-14,9
2017-05-15,12
2017-05-16,8
2017-05-17,12
2017-05-18,16
2017-05-19,12
2017-05-20,0
2017-05-21,9
2017-05-22,12
2017-05-23,19
2017-05-24,20
2017-05-25,0
2017-05-26,17
2017-05-27,0
2017-05-28,10
2017-05-29,8
