date,VRTX stock
2015-08-18,18
2015-08-19,18
2015-08-20,36
2015-08-21,19
2015-08-22,0
2015-08-23,0
2015-08-24,35
2015-08-25,18
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,21
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,35
2015-09-03,18
2015-09-04,54
2015-09-05,0
2015-09-06,21
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,18
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,17
2015-09-15,17
2015-09-16,17
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,34
2015-09-23,35
2015-09-24,71
2015-09-25,0
2015-09-26,41
2015-09-27,0
2015-09-28,50
2015-09-29,68
2015-09-30,34
2015-10-01,17
2015-10-02,36
2015-10-03,20
2015-10-04,0
2015-10-05,17
2015-10-06,34
2015-10-07,0
2015-10-08,34
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,17
2015-10-13,0
2015-10-14,0
2015-10-15,34
2015-10-16,53
2015-10-17,0
2015-10-18,0
2015-10-19,17
2015-10-20,0
2015-10-21,17
2015-10-22,17
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,100
2015-10-29,0
2015-10-30,36
2015-10-31,0
2015-11-01,0
2015-11-02,17
2015-11-03,0
2015-11-04,50
2015-11-05,17
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,17
2015-11-10,17
2015-11-11,17
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,16
2015-11-18,0
2015-11-19,0
2015-11-20,17
2015-11-21,0
2015-11-22,0
2015-11-23,34
2015-11-24,17
2015-11-25,0
2015-11-26,0
2015-11-27,36
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,17
2015-12-02,0
2015-12-03,51
2015-12-04,35
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,17
2015-12-09,17
2015-12-10,17
2015-12-11,18
2015-12-12,20
2015-12-13,19
2015-12-14,0
2015-12-15,35
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,37
2015-12-23,0
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,37
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,36
2016-01-07,18
2016-01-08,19
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,18
2016-01-14,0
2016-01-15,19
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,35
2016-01-21,0
2016-01-22,18
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,35
2016-01-28,54
2016-01-29,19
2016-01-30,0
2016-01-31,40
2016-02-01,35
2016-02-02,18
2016-02-03,35
2016-02-04,55
2016-02-05,19
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,20
2016-02-15,0
2016-02-16,17
2016-02-17,35
2016-02-18,0
2016-02-19,36
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,35
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,17
2016-03-01,0
2016-03-02,34
2016-03-03,0
2016-03-04,18
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,17
2016-03-09,35
2016-03-10,0
2016-03-11,55
2016-03-12,20
2016-03-13,0
2016-03-14,17
2016-03-15,0
2016-03-16,17
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,35
2016-03-22,0
2016-03-23,18
2016-03-24,37
2016-03-25,0
2016-03-26,21
2016-03-27,0
2016-03-28,18
2016-03-29,18
2016-03-30,0
2016-03-31,18
2016-04-01,0
2016-04-02,20
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,52
2016-04-07,36
2016-04-08,18
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,18
2016-04-15,0
2016-04-16,21
2016-04-17,0
2016-04-18,52
2016-04-19,17
2016-04-20,35
2016-04-21,18
2016-04-22,19
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,17
2016-04-27,70
2016-04-28,0
2016-04-29,37
2016-04-30,21
2016-05-01,0
2016-05-02,18
2016-05-03,35
2016-05-04,35
