date,BMRN stock
2015-04-10,0
2015-04-11,0
2015-04-12,37
2015-04-13,16
2015-04-14,15
2015-04-15,16
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,31
2015-04-21,16
2015-04-22,31
2015-04-23,16
2015-04-24,0
2015-04-25,0
2015-04-26,18
2015-04-27,31
2015-04-28,15
2015-04-29,0
2015-04-30,32
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,15
2015-05-05,15
2015-05-06,31
2015-05-07,16
2015-05-08,16
2015-05-09,38
2015-05-10,19
2015-05-11,15
2015-05-12,0
2015-05-13,16
2015-05-14,24
2015-05-15,16
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,15
2015-05-20,0
2015-05-21,16
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,15
2015-05-28,15
2015-05-29,16
2015-05-30,19
2015-05-31,0
2015-06-01,46
2015-06-02,46
2015-06-03,23
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,19
2015-06-08,30
2015-06-09,15
2015-06-10,15
2015-06-11,0
2015-06-12,32
2015-06-13,0
2015-06-14,0
2015-06-15,23
2015-06-16,15
2015-06-17,31
2015-06-18,39
2015-06-19,57
2015-06-20,28
2015-06-21,0
2015-06-22,46
2015-06-23,23
2015-06-24,31
2015-06-25,16
2015-06-26,16
2015-06-27,19
2015-06-28,0
2015-06-29,31
2015-06-30,0
2015-07-01,31
2015-07-02,31
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,31
2015-07-07,15
2015-07-08,0
2015-07-09,16
2015-07-10,16
2015-07-11,0
2015-07-12,0
2015-07-13,23
2015-07-14,31
2015-07-15,32
2015-07-16,24
2015-07-17,34
2015-07-18,0
2015-07-19,0
2015-07-20,16
2015-07-21,16
2015-07-22,0
2015-07-23,0
2015-07-24,16
2015-07-25,19
2015-07-26,0
2015-07-27,31
2015-07-28,0
2015-07-29,15
2015-07-30,0
2015-07-31,16
2015-08-01,19
2015-08-02,0
2015-08-03,31
2015-08-04,15
2015-08-05,31
2015-08-06,24
2015-08-07,16
2015-08-08,0
2015-08-09,19
2015-08-10,31
2015-08-11,23
2015-08-12,0
2015-08-13,0
2015-08-14,16
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,15
2015-08-19,15
2015-08-20,0
2015-08-21,48
2015-08-22,18
2015-08-23,0
2015-08-24,15
2015-08-25,30
2015-08-26,15
2015-08-27,15
2015-08-28,32
2015-08-29,0
2015-08-30,18
2015-08-31,30
2015-09-01,30
2015-09-02,60
2015-09-03,30
2015-09-04,16
2015-09-05,18
2015-09-06,0
2015-09-07,0
2015-09-08,15
2015-09-09,0
2015-09-10,0
2015-09-11,15
2015-09-12,0
2015-09-13,0
2015-09-14,15
2015-09-15,0
2015-09-16,0
2015-09-17,15
2015-09-18,16
2015-09-19,17
2015-09-20,0
2015-09-21,0
2015-09-22,15
2015-09-23,30
2015-09-24,15
2015-09-25,16
2015-09-26,0
2015-09-27,0
2015-09-28,14
2015-09-29,14
2015-09-30,22
2015-10-01,14
2015-10-02,15
2015-10-03,0
2015-10-04,0
2015-10-05,14
2015-10-06,0
2015-10-07,15
2015-10-08,29
2015-10-09,15
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,21
2015-10-14,14
2015-10-15,59
2015-10-16,30
2015-10-17,0
2015-10-18,0
2015-10-19,28
2015-10-20,14
2015-10-21,14
2015-10-22,0
2015-10-23,15
2015-10-24,17
2015-10-25,0
2015-10-26,21
2015-10-27,14
2015-10-28,21
2015-10-29,15
2015-10-30,46
2015-10-31,35
2015-11-01,0
2015-11-02,14
2015-11-03,28
2015-11-04,14
2015-11-05,0
2015-11-06,15
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,29
2015-11-11,15
2015-11-12,15
2015-11-13,30
2015-11-14,17
2015-11-15,0
2015-11-16,14
2015-11-17,28
2015-11-18,29
2015-11-19,15
2015-11-20,60
2015-11-21,25
2015-11-22,0
2015-11-23,14
2015-11-24,78
2015-11-25,100
2015-11-26,15
2015-11-27,30
2015-11-28,0
2015-11-29,0
2015-11-30,14
2015-12-01,14
2015-12-02,14
2015-12-03,22
2015-12-04,15
2015-12-05,0
2015-12-06,17
2015-12-07,0
2015-12-08,14
2015-12-09,14
2015-12-10,36
2015-12-11,15
2015-12-12,0
2015-12-13,0
2015-12-14,14
2015-12-15,22
2015-12-16,15
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,15
2015-12-22,16
2015-12-23,16
2015-12-24,0
2015-12-25,0
2015-12-26,18
