date,BMRN stock
2015-12-26,16
2015-12-27,0
2015-12-28,0
2015-12-29,14
2015-12-30,14
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,14
2016-01-05,28
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-10,15
2016-01-11,33
2016-01-12,13
2016-01-13,14
2016-01-14,27
2016-01-15,14
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,20
2016-01-21,27
2016-01-22,14
2016-01-23,0
2016-01-24,15
2016-01-25,13
2016-01-26,13
2016-01-27,13
2016-01-28,20
2016-01-29,14
2016-01-30,0
2016-01-31,15
2016-02-01,13
2016-02-02,13
2016-02-03,20
2016-02-04,13
2016-02-05,14
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,14
2016-02-10,13
2016-02-11,0
2016-02-12,14
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,26
2016-02-17,13
2016-02-18,13
2016-02-19,27
2016-02-20,0
2016-02-21,0
2016-02-22,20
2016-02-23,26
2016-02-24,13
2016-02-25,20
2016-02-26,14
2016-02-27,0
2016-02-28,0
2016-02-29,26
2016-03-01,20
2016-03-02,13
2016-03-03,46
2016-03-04,27
2016-03-05,0
2016-03-06,0
2016-03-07,13
2016-03-08,0
2016-03-09,13
2016-03-10,13
2016-03-11,14
2016-03-12,0
2016-03-13,0
2016-03-14,13
2016-03-15,13
2016-03-16,13
2016-03-17,20
2016-03-18,28
2016-03-19,0
2016-03-20,0
2016-03-21,54
2016-03-22,13
2016-03-23,27
2016-03-24,43
2016-03-25,15
2016-03-26,0
2016-03-27,0
2016-03-28,14
2016-03-29,26
2016-03-30,33
2016-03-31,13
2016-04-01,0
2016-04-02,15
2016-04-03,0
2016-04-04,13
2016-04-05,33
2016-04-06,20
2016-04-07,54
2016-04-08,14
2016-04-09,0
2016-04-10,15
2016-04-11,13
2016-04-12,0
2016-04-13,20
2016-04-14,0
2016-04-15,21
2016-04-16,0
2016-04-17,15
2016-04-18,20
2016-04-19,53
2016-04-20,27
2016-04-21,27
2016-04-22,56
2016-04-23,0
2016-04-24,15
2016-04-25,39
2016-04-26,20
2016-04-27,13
2016-04-28,27
2016-04-29,21
2016-04-30,16
2016-05-01,0
2016-05-02,27
2016-05-03,20
2016-05-04,0
2016-05-05,14
2016-05-06,14
2016-05-07,0
2016-05-08,16
2016-05-09,40
2016-05-10,13
2016-05-11,20
2016-05-12,13
2016-05-13,14
2016-05-14,0
2016-05-15,0
2016-05-16,13
2016-05-17,0
2016-05-18,0
2016-05-19,27
2016-05-20,35
2016-05-21,16
2016-05-22,0
2016-05-23,0
2016-05-24,13
2016-05-25,40
2016-05-26,0
2016-05-27,0
2016-05-28,16
2016-05-29,0
2016-05-30,0
2016-05-31,20
2016-06-01,13
2016-06-02,14
2016-06-03,14
2016-06-04,16
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,14
2016-06-09,14
2016-06-10,28
2016-06-11,0
2016-06-12,0
2016-06-13,13
2016-06-14,13
2016-06-15,0
2016-06-16,0
2016-06-17,42
2016-06-18,16
2016-06-19,0
2016-06-20,27
2016-06-21,0
2016-06-22,13
2016-06-23,28
2016-06-24,29
2016-06-25,0
2016-06-26,0
2016-06-27,13
2016-06-28,14
2016-06-29,21
2016-06-30,14
2016-07-01,22
2016-07-02,49
2016-07-03,0
2016-07-04,0
2016-07-05,14
2016-07-06,15
2016-07-07,44
2016-07-08,15
2016-07-09,34
2016-07-10,0
2016-07-11,28
2016-07-12,28
2016-07-13,22
2016-07-14,14
2016-07-15,15
2016-07-16,0
2016-07-17,0
2016-07-18,29
2016-07-19,43
2016-07-20,29
2016-07-21,0
2016-07-22,15
2016-07-23,0
2016-07-24,0
2016-07-25,21
2016-07-26,28
2016-07-27,100
2016-07-28,57
2016-07-29,30
2016-07-30,34
2016-07-31,0
2016-08-01,21
2016-08-02,14
2016-08-03,29
2016-08-04,51
2016-08-05,54
2016-08-06,18
2016-08-07,0
2016-08-08,22
2016-08-09,43
2016-08-10,29
2016-08-11,15
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,16
2016-08-16,23
2016-08-17,15
2016-08-18,0
2016-08-19,31
2016-08-20,0
2016-08-21,0
2016-08-22,22
2016-08-23,15
2016-08-24,29
2016-08-25,21
2016-08-26,15
2016-08-27,16
2016-08-28,16
2016-08-29,14
2016-08-30,14
2016-08-31,0
2016-09-01,14
2016-09-02,22
2016-09-03,16
2016-09-04,0
2016-09-05,0
2016-09-06,14
2016-09-07,14
2016-09-08,14
2016-09-09,0
2016-09-10,0
2016-09-11,0
